gene,detected_cells,detection_fraction,total_expression,mean_expression
MALAT1,3377,0.999408108907961,22082.776945701098,6.535299480823054
RPL10,3372,0.9979283811778633,13007.335887702879,3.849463121545688
RPL41,3369,0.9970405445398047,14642.1376190039,4.333275412549246
FTH1,3368,0.9967445989937851,14676.516782842144,4.34344977296305
RPLP1,3365,0.9958567623557265,14413.932765329562,4.265739202524286
EEF1A1,3362,0.9949689257176679,13311.309253979904,3.939422685403937
RPL13A,3360,0.9943770346256289,13506.305742700477,3.997131027730239
RPS18,3357,0.9934891979875703,13970.03577532669,4.134369865441459
RPL13,3355,0.9928973068955312,11737.578096233008,3.473683958636581
RPS19,3354,0.9926013613495117,11985.807061597148,3.5471462153291355
RPS27,3352,0.9920094702574727,12231.612727869942,3.6198913074489325
RPS2,3352,0.9920094702574727,12432.84960088472,3.6794464637125537
RPL3,3348,0.9908256880733946,11968.02419781891,3.5418834559984935
RPS12,3340,0.9884581237052382,11821.666764643398,3.4985696255233494
RPS15,3340,0.9884581237052382,11615.280746240822,3.437490602616402
RPL32,3339,0.9881621781592187,11675.152831590784,3.455209479606624
RPL28,3339,0.9881621781592187,11424.7418608911,3.3811014681536253
RPS24,3339,0.9881621781592187,11294.030688155643,3.342418078767577
MT-CO1,3337,0.9875702870671796,15014.998879885923,4.443622041990507
RPS15A,3337,0.9875702870671796,11428.712014257784,3.38227641735951
RPS27A,3337,0.9875702870671796,11190.95751060874,3.3119140309584907
MT-CO2,3337,0.9875702870671796,13943.389093350987,4.12648389859455
MT-CO3,3337,0.9875702870671796,14393.173263184599,4.259595520326901
MT-ND4,3333,0.9863865048831015,14095.770909169589,4.1715806182804345
RPL7,3332,0.986090559337082,11562.59921847702,3.4218997391172006
MT-ATP6,3331,0.9857946137910625,13181.284881172473,3.900942551397595
TPT1,3331,0.9857946137910625,11099.27808748868,3.2847819140244687
MT-ND2,3330,0.985498668245043,13242.261603410712,3.918988340754872
RPL9,3330,0.985498668245043,10695.716690320498,3.1653497159871256
MT-CYB,3328,0.9849067771530039,12651.739576070611,3.7442259769371447
RPL15,3328,0.9849067771530039,11161.110333335413,3.303080891783194
TMSB10,3327,0.9846108316069843,11104.998548380861,3.2864748589466886
RPS6,3327,0.9846108316069843,11791.063966427248,3.4895128636955453
RPS4X,3327,0.9846108316069843,12236.902814730138,3.621456885093264
RPL21,3327,0.9846108316069843,10686.553418663698,3.1626378865533287
RPLP2,3326,0.9843148860609647,10984.364420157473,3.250773726001028
MIF,3326,0.9843148860609647,10671.117496088173,3.1580696940184
RPL29,3325,0.9840189405149452,10927.955365050377,3.2340797173869125
RPL8,3324,0.9837229949689257,11398.628422201673,3.373373312282235
RPL14,3324,0.9837229949689257,10413.671546744921,3.0818797119694943
RPL7A,3323,0.9834270494229062,10505.31374570033,3.1090008125777833
RPL23A,3323,0.9834270494229062,11540.779834924384,3.415442389737906
ACTG1,3323,0.9834270494229062,10725.625234873012,3.174201016535369
RPS3A,3323,0.9834270494229062,10890.81071900788,3.2230869248321636
RPS16,3323,0.9834270494229062,10700.413213762326,3.166739631181511
RPL26,3323,0.9834270494229062,11112.77136235405,3.288775188622092
RPS14,3323,0.9834270494229062,11495.717328269136,3.4021063416008097
ACTB,3322,0.9831311038768866,10072.630654412022,2.9809501788730457
RPLP0,3321,0.9828351583308671,10177.283447562122,3.0119217068843214
RPL27A,3319,0.982243267238828,10288.483721733202,3.0448309327414034
RPS17,3319,0.982243267238828,10587.492734173793,3.133321318192895
RPL35A,3318,0.9819473216928085,10570.17333851594,3.1281957201882036
PTMA,3318,0.9819473216928085,10307.921025533637,3.0505833162277707
RPL19,3317,0.981651376146789,11069.076174253647,3.275843792321292
RPS23,3316,0.9813554306007695,10614.006179882213,3.141167854359933
RPL11,3315,0.9810594850547499,10668.038123344131,3.1571583673702666
RPS9,3315,0.9810594850547499,10123.813156700411,2.996097412459429
B2M,3314,0.9807635395087304,9186.551157136364,2.7187188982350885
RPL34,3314,0.9807635395087304,10852.377968674638,3.2117129235497597
RPL12,3314,0.9807635395087304,11257.400495765423,3.331577536479853
RPL30,3311,0.9798757028706718,10298.400567585439,3.047765779101935
RPL18,3311,0.9798757028706718,10132.473108877693,2.998660286735038
RPL37A,3310,0.9795797573246523,10248.20687621907,3.0329111797037793
RPL18A,3308,0.9789878662326132,10928.773101105227,3.234321722730165
H3-3B,3308,0.9789878662326132,9425.605982015839,2.7894661089126482
GAPDH,3308,0.9789878662326132,10022.637661750194,2.9661549753625907
UBC,3307,0.9786919206865937,8648.577583798056,2.559508015329404
RPS28,3303,0.9775081385025155,9773.735692092789,2.892493546046993
RPS3,3302,0.977212192956496,10258.981678058715,3.0360999343174653
RPL31,3302,0.977212192956496,9987.94166245743,2.9558868489072
EIF1,3300,0.9766203018644569,9404.505668596808,2.78322156513667
RPL36,3298,0.9760284107724179,10165.84557335175,3.00853671895583
FAU,3298,0.9760284107724179,9052.724767105943,2.679113574165713
RPL36A,3298,0.9760284107724179,9493.674808535241,2.8096107749438417
RPS13,3297,0.9757324652263983,9999.319232726628,2.959253990152894
H3-3A,3297,0.9757324652263983,9564.02458270908,2.8304304772740694
MYL6,3297,0.9757324652263983,9039.827582661277,2.6752967098731215
RPL39,3295,0.9751405741343593,10185.253648498938,3.0142804523524527
MT-ND1,3294,0.9748446285883398,12473.573169543659,3.6914984224751874
RPL10A,3293,0.9745486830423202,10209.872718217657,3.021566356382852
NACA,3292,0.9742527374963007,9216.723119291477,2.7276481560495642
RPS20,3291,0.9739567919502812,9249.381705136682,2.737313319069749
RPL17,3288,0.9730689553122226,10835.044999565096,3.2065833085424966
RPS5,3287,0.9727730097662031,10208.086066050359,3.021037604631654
RPS8,3287,0.9727730097662031,10709.188109752262,3.169336522566517
RPL37,3286,0.9724770642201835,9465.15346783387,2.8011700111967652
SERF2,3285,0.9721811186741639,9025.87118730072,2.6711663768276765
RPL35,3282,0.9712932820361053,9423.886490886662,2.788957233171548
RPL24,3281,0.9709973364900858,9302.089198944177,2.752911867103929
RPS25,3277,0.9698135543060077,8698.138695504147,2.5741754055945982
RPS11,3273,0.9686297721219296,9070.5720479575,2.6843953974422905
RPS7,3271,0.9680378810298905,9194.771811661143,2.7211517643270624
COX6C,3266,0.9665581532997929,9944.487267253064,2.9430267141914954
RPL6,3262,0.9653743711157147,9446.22474037497,2.7955681386134863
RPS21,3261,0.9650784255696951,7939.244840564681,2.34958414932367
MT-ND3,3260,0.9647824800236756,10015.209122332886,2.963956532208608
RPS29,3253,0.9627108612015389,8770.149425895335,2.5954866605194837
FTL,3248,0.9612311334714413,8640.301678364021,2.5570587979769224
UBA52,3247,0.9609351879254218,8325.129510785193,2.463784998752647
NME2,3244,0.9600473512873631,8200.427943477704,2.42688012532634
EEF1G,3243,0.9597514057413435,8837.033994233703,2.6152808506166627
BTF3,3236,0.9576797869192069,8242.146454674672,2.439226532901649
KRT18,3231,0.9562000591891092,7771.199694119024,2.299851936702878
HSPB1,3219,0.9526487126368748,10349.954563561343,3.063022954590513
MT-ND5,3214,0.9511689849067771,8609.241205912427,2.5478665894976107
RPL38,3213,0.9508730393607576,7632.80720393243,2.2588952956296033
CHCHD2,3211,0.9502811482687186,7480.033034547205,2.2136824606532124
CFL1,3201,0.9473216928085232,7438.257322973141,2.2013191248810715
RPL22,3199,0.9467298017164841,7921.257250122792,2.3442608020487694
OAZ1,3198,0.9464338561704646,7468.83641037566,2.210368869599189
HSP90AA1,3197,0.9461379106244451,7423.22948605745,2.196871703479565
RACK1,3191,0.9443622373483279,8600.635244127892,2.5453196934382634
RPL23,3184,0.9422906185261912,8139.211717770809,2.4087634559842583
RPSA,3182,0.9416987274341521,7622.905362584218,2.2559648897852083
CALM2,3182,0.9416987274341521,7211.734535023544,2.1342807147154614
PPIA,3181,0.9414027818881325,6850.928869052892,2.027501884892836
CD63,3180,0.941106836342113,6923.507556347412,2.0489812241335934
SPINT2,3176,0.9399230541580349,6611.901962182804,1.9567629364258077
RPL27,3169,0.9378514353358982,8020.6022069122355,2.373661499530108
ATP5F1E,3165,0.9366676531518201,7067.142982314317,2.0914894886991173
GAS5,3165,0.9366676531518201,7340.308618236447,2.1723316419758647
DSTN,3163,0.936075762059781,6476.427626047785,1.916669910046696
COX6A1,3161,0.9354838709677419,6652.033011561655,1.9686395417465685
NEAT1,3161,0.9354838709677419,9284.285016954085,2.7476427987434406
HSP90AB1,3159,0.9348919798757028,6638.179754758292,1.9645397320977485
ZFAS1,3157,0.9343000887836638,6459.723821733455,1.911726493558288
RPL4,3155,0.9337081976916247,7511.858342096742,2.2231010186731996
COX7C,3154,0.9334122521456052,6757.378520974704,1.999816076050519
SNHG29,3153,0.9331163065995857,6819.347551857385,2.0181555347313953
RPS26,3145,0.9307487422314294,6962.3084405609525,2.06046417299821
SRP14,3138,0.9286771234092926,6353.225830995306,1.8802088875393033
EEF1D,3135,0.9277892867712341,6645.568303621365,1.9667263402253226
EEF2,3135,0.9277892867712341,7160.436410630347,2.119099263282139
KRT8,3132,0.9269014501331755,6762.960810316902,2.001468129717935
ATP6V1G1,3126,0.9251257768570583,6047.749977571053,1.78980466930188
RPL5,3118,0.922758212488902,8225.74432403069,2.434372395392332
RPS10,3118,0.922758212488902,6670.804575464387,1.974194902475403
EDF1,3118,0.922758212488902,5896.145547173885,1.74493801336901
TXN,3117,0.9224622669428825,6135.000685806739,1.815626127791281
MYL12B,3102,0.9180230837525896,6221.428159197912,1.8412039535951203
PFDN5,3100,0.9174311926605505,5922.980306374245,1.7528796408328633
GPX4,3098,0.9168393015685113,6281.7427404279315,1.859053785270178
ATP5MC2,3098,0.9168393015685113,6373.594331761659,1.886236854620201
ANXA2,3091,0.9147676827463747,6644.79550359574,1.9664976334997752
COX7A2,3091,0.9147676827463747,6178.491789695681,1.8284971262786864
SUMO2,3084,0.912696063924238,5757.876343333521,1.7040178583407875
TMBIM6,3081,0.9118082272861794,5425.999557319852,1.6058004016927647
XBP1,3075,0.9100325540100621,6961.6248784053,2.060261875822817
RPL36AL,3074,0.9097366084640426,5523.9881010031095,1.6347996747567652
CRIP1,3070,0.9085528262799645,8275.793685028853,2.4491842808608624
RAC1,3067,0.9076649896419059,5701.5362296422445,1.6873442526316202
COX4I1,3058,0.9050014797277302,5571.8670969117065,1.6489692503438018
TMSB4X,3058,0.9050014797277302,9236.072965550073,2.733374656865958
JUN,3057,0.9047055341817105,7250.6812587581635,2.145806824136775
HMGN1,3054,0.9038176975436519,5338.613592942866,1.579938914750774
PABPC1,3050,0.9026339153595738,5699.470867186566,1.686733017811946
EIF4A1,3050,0.9026339153595738,5470.392925864574,1.618938421386379
TMA7,3042,0.9002663509914176,5552.501839047478,1.6432381885313636
GABARAP,3042,0.9002663509914176,5405.382324022263,1.5996988233270977
CLDN4,3041,0.8999704054453981,6758.235654982417,2.0000697410424437
GUK1,3040,0.8996744598993786,5602.101798402259,1.657917075585161
SAT1,3028,0.8961231133471441,8123.720236327127,2.4041788210497566
KRT19,3025,0.8952352767090855,8327.70126319337,2.4645460974233115
SERP1,3021,0.8940514945250074,5258.99464058677,1.5563760404222464
SOD1,3018,0.8931636578869488,5585.4179183196575,1.6529795555843911
SKP1,3016,0.8925717667949097,5161.969282467403,1.5276618178358694
ELOB,3013,0.8916839301568511,5653.760985092654,1.6732053817971748
PFN1,3013,0.8916839301568511,6056.625867257213,1.79243144932146
PPDPF,3013,0.8916839301568511,6127.916998559242,1.8135297421009888
NDUFA4,3012,0.8913879846108316,6088.755529778595,1.8019400798397736
UBB,3009,0.890500147972773,6109.936620741349,1.8082085293700352
HMGB1,3008,0.8902042024267535,4849.012223993805,1.4350435702852338
EEF1B2,3004,0.8890204202426754,5777.895413134199,1.7099424128837521
RTN4,3004,0.8890204202426754,5213.367201465077,1.542872803037904
COX6B1,3002,0.8884285291506363,5457.156685381909,1.6150212149694905
HINT1,3000,0.8878366380585972,5759.27219948989,1.704430955753149
UBL5,2998,0.8872447469665582,5052.520726606448,1.4952710052105498
UQCRB,2996,0.8866528558745191,5373.798476303051,1.5903517242684377
SUB1,2994,0.88606096478248,5382.536588610794,1.5929377296865326
ARF1,2993,0.8857650192364604,4998.010698905102,1.479139005298935
OST4,2993,0.8857650192364604,5046.839258094548,1.493589599909603
LMNA,2993,0.8857650192364604,5382.153165521935,1.5928242573311437
ATP6V0C,2992,0.8854690736904409,5122.31388706432,1.5159259801906835
CLIC1,2991,0.8851731281444214,5223.789034861584,1.5459570982129576
DDX5,2985,0.8833974548683042,4990.962281309092,1.4770530575049103
TPI1,2978,0.8813258360461675,5619.943818087424,1.6631973418429784
LDHA,2973,0.8798461083160698,6404.491978907161,1.8953808756753954
CD9,2965,0.8774785439479136,5353.972689967526,1.5844843711061043
MYL12A,2960,0.875998816217816,5241.791367913165,1.5512848084975333
NPM1,2959,0.8757028706717964,5710.470480687496,1.6899883044354826
HNRNPA2B1,2955,0.8745190884877183,4554.251111154685,1.3478103318007353
HNRNPA1,2947,0.872151524119562,5382.096986469053,1.5928076313906638
UQCR11,2943,0.8709677419354839,5209.837435049387,1.541828184388691
NDUFA13,2942,0.8706717963894643,4944.913439542078,1.4634251078846043
IER2,2941,0.8703758508434448,5859.778579443244,1.7341753712468908
HLA-C,2939,0.8697839597514058,5696.743520900736,1.685925871826202
TAGLN2,2937,0.8691920686593667,5393.313567812618,1.5961271286808578
PRDX1,2936,0.8688961231133472,5259.00989492203,1.556380554874824
SSR2,2933,0.8680082864752885,5018.884962603282,1.4853166506668487
CRABP2,2933,0.8680082864752885,6765.568895527267,2.002239980919582
SEC61B,2932,0.867712340929269,4656.440764883706,1.3780529046711174
CIRBP,2927,0.8662326131991713,4951.896079383032,1.465491589044993
ATP5MG,2924,0.8653447765611127,4828.342633336535,1.4289264969921678
UQCRH,2919,0.8638650488310151,4837.603111585412,1.4316670942839338
