gene,coefficient,test_sample
PRSS23,0.220286279609665,BC11
EPN3,0.5042427625677797,BC11
FCGRT,0.5116647740035644,BC11
ESR1,0.1447999441840951,BC11
CDK4,-0.07497017164361369,BC11
PCNA,-0.18258235498641623,BC11
ATP5F1A,0.2250988952025795,BC11
ETFB,0.6336698694714571,BC11
COX7B,0.4674789567755362,BC11
COX8A,0.5675706833867328,BC11
NDUFB5,0.36935759819425457,BC11
MDH2,-0.13374494155846364,BC11
SORD,0.13406077851341452,BC11
CYC1,0.26909188323519906,BC11
ATP5F1B,0.014498202765336565,BC11
COX5B,-0.2686628474617614,BC11
MRPS7,0.3063861880695955,BC11
PDHB,0.1983704615322503,BC11
CYB561,-0.04172228986688705,BC11
COX5A,-0.2771370752988334,BC11
MRPS23,-0.009359739901567748,BC11
UQCR10,-0.3658459907206451,BC11
NDUFB7,-0.2706226647267947,BC11
MRPL27,-0.14991457794107174,BC11
NDUFB9,0.07356139993265993,BC11
NDUFB10,-0.05259544546279965,BC11
MRPS26,-0.1535731309852646,BC11
MRPS12,0.3217810288108299,BC11
UQCRH,0.2938435677902725,BC11
MRPL12,0.3563541540944976,BC11
SELENOT,0.5675172537726934,BC11
NDUFS2,0.1140280258232236,BC11
NDUFA12,0.02625611484292014,BC11
NDUFA1,-0.10969072963272446,BC11
NDUFA8,0.10686342544097753,BC11
MRPL23,0.3088473335961703,BC11
IDH2,0.48492689370837444,BC11
NDUFB4,0.06191911563579263,BC11
COX11,0.05935929819549216,BC11
NDUFA7,-0.29116830314821474,BC11
MRPL40,0.08427731839168377,BC11
NDUFS6,-0.1849545717705954,BC11
NDUFS3,0.07295894751351643,BC11
CALR,0.3434775261329556,BC11
MRPS18A,0.3842404129850243,BC11
NDUFV1,0.3807401018355926,BC11
MRPS24,0.11649345778623507,BC11
IDH1,0.12726042108446992,BC11
COX7A2L,-0.09826064501849494,BC11
NDUFA6,0.009135227959873381,BC11
PRSS23,0.7714844755646918,BC12
EPN3,0.45682560312827125,BC12
FCGRT,0.5488890097612498,BC12
ESR1,0.7090904306174963,BC12
CDK4,-0.28896416966058036,BC12
PCNA,0.04701478763622374,BC12
ATP5F1A,0.6264266198131966,BC12
ETFB,0.19368773582702262,BC12
COX7B,0.6249207995177116,BC12
COX8A,0.18078354967400134,BC12
NDUFB5,0.1368395494454772,BC12
MDH2,0.32837040940698714,BC12
SORD,-0.01078945922980767,BC12
CYC1,-0.03937615335473081,BC12
ATP5F1B,-0.21514237890545845,BC12
COX5B,-0.23260766203616318,BC12
MRPS7,0.01394449984196939,BC12
PDHB,0.05284759032196087,BC12
CYB561,0.6230257207259573,BC12
COX5A,0.1826673466120817,BC12
MRPS23,0.20562794242939936,BC12
UQCR10,0.2778747474248537,BC12
NDUFB7,0.06776044770325061,BC12
MRPL27,0.2522098489986144,BC12
NDUFB9,0.27101898984348194,BC12
NDUFB10,-0.2997056727887239,BC12
MRPS26,0.21348826843465576,BC12
MRPS12,-0.17555868927201596,BC12
UQCRH,0.34255610412757853,BC12
MRPL12,-0.04429451584640529,BC12
SELENOT,0.147013678063284,BC12
NDUFS2,0.4045874706275438,BC12
NDUFA12,-0.07691407683106408,BC12
NDUFA1,0.3791716077943654,BC12
NDUFA8,0.14736898397126608,BC12
MRPL23,0.12421341479508484,BC12
IDH2,0.12027218525131095,BC12
NDUFB4,0.07509789857427798,BC12
COX11,0.23804261442596975,BC12
