gene,coefficient,test_sample,selected_C
H1-2,0.09077615230377038,BC11,0.01
CHCHD10,0.08473581410362327,BC11,0.01
DBI,0.045864478964679094,BC11,0.01
SLC9A3R1,0.056018728608635784,BC11,0.01
MPC2,-0.03536277700181562,BC11,0.01
FKBP4,0.0313117318587062,BC11,0.01
PRSS23,0.0191601608535264,BC11,0.01
GLRX5,0.09811347882411087,BC11,0.01
FCGRT,0.07901136142357154,BC11,0.01
HSPA1A,0.018436575382523166,BC11,0.01
TMEM160,0.05754711290942339,BC11,0.01
NDUFAB1,0.057712006572081344,BC11,0.01
GATA3,-0.07200949527298374,BC11,0.01
ATP5MC3,-0.03120529282175977,BC11,0.01
COX7B,-0.059111683386520245,BC11,0.01
NUCB2,0.017617803348194103,BC11,0.01
HSBP1,0.0383014614488716,BC11,0.01
HSPE1,0.0034970670556715242,BC11,0.01
HERPUD1,-0.0056760293593729316,BC11,0.01
ATP6AP2,0.042086471990409186,BC11,0.01
ATP5F1A,-0.005118965764245422,BC11,0.01
COX8A,-0.03443188187624711,BC11,0.01
H2AJ,0.030092166343638233,BC11,0.01
TMEM230,0.047770051085790265,BC11,0.01
RETREG1,0.1319379819797507,BC11,0.01
GPX1,-0.011740407066932562,BC11,0.01
ATP5PD,-0.050367627103881506,BC11,0.01
COX5B,-0.07990913607137441,BC11,0.01
NDUFB7,-0.03279173835308048,BC11,0.01
ETFB,0.11356780893364915,BC11,0.01
NDUFB10,-0.016574194274469767,BC11,0.01
COX5A,-0.07749225837609129,BC11,0.01
CST3,-0.10132435308616979,BC11,0.01
NDUFB9,-0.05824920203368115,BC11,0.01
MDH2,-0.024785356952177526,BC11,0.01
UQCR10,-0.11301232776141758,BC11,0.01
ATP5F1B,-0.0465302507085344,BC11,0.01
DCAF6,-0.010165337923311228,BC11,0.01
CYC1,0.02281957140603664,BC11,0.01
NDUFB5,0.06284464264865085,BC11,0.01
IDH2,-0.01659405476285373,BC11,0.01
PRDX2,-0.08145877337171076,BC11,0.01
CKB,0.09102965123788856,BC11,0.01
GABARAPL2,0.025093193490472995,BC11,0.01
UQCRH,-0.11206488993457185,BC11,0.01
CLU,-0.03476019800194196,BC11,0.01
EPN3,0.0695990772331414,BC11,0.01
C18orf32,-0.012410252209934993,BC11,0.01
NDUFA1,-0.07832970377251351,BC11,0.01
FXYD3,-0.09858691873101902,BC11,0.01
PEBP1,-0.0642335208637531,BC11,0.01
CLDN3,0.0026607477439439774,BC11,0.01
HSPD1,-0.01919276700818495,BC11,0.01
NDUFAF3,0.06611852691680906,BC11,0.01
NDUFB4,-0.06125255218711836,BC11,0.01
COX14,-0.024164851086488505,BC11,0.01
PBX1,-0.04738633872987598,BC11,0.01
ATP5ME,-0.10893073217262302,BC11,0.01
SLC39A6,-0.038784828102020344,BC11,0.01
CKS2,0.05473853757785034,BC11,0.01
DYNLRB1,-0.014559485643894714,BC11,0.01
NDUFS6,-0.008121058671033477,BC11,0.01
STARD10,-0.014112167965145115,BC11,0.01
TBC1D9,0.045573992465133356,BC11,0.01
PAFAH1B3,0.008218380366262984,BC11,0.01
ATP5MC1,-0.036896265533260204,BC11,0.01
SELENOP,0.025746408277937657,BC11,0.01
NDUFA7,-0.05335110449768848,BC11,0.01
PRKAR1A,-0.037891408932147284,BC11,0.01
RBBP7,0.05213029339323885,BC11,0.01
SCD,0.07391131620473236,BC11,0.01
MORF4L2,-0.054176216306714715,BC11,0.01
ATP6AP1,0.020613810852603297,BC11,0.01
NDUFA12,0.023764493547288906,BC11,0.01
TOMM6,-0.012564864371759224,BC11,0.01
C1orf43,-0.05758945632620374,BC11,0.01
COX17,-0.05507685833874506,BC11,0.01
BEX3,-0.013051848032719204,BC11,0.01
GTF2I,-0.0011591520899261736,BC11,0.01
PRDX5,-0.051888898793945454,BC11,0.01
VAMP8,-0.07641865762045653,BC11,0.01
ACO2,0.023100041384312445,BC11,0.01
NDUFA6,-0.06229305145153721,BC11,0.01
IGFBP4,-0.004588853697957287,BC11,0.01
ERP29,-0.06530691051386907,BC11,0.01
MZT2B,-0.03669332951220371,BC11,0.01
NQO1,0.017551914474581033,BC11,0.01
HACD3,-0.06047809763326148,BC11,0.01
MRPL27,-0.0076986497451299075,BC11,0.01
MAGED2,-0.06147063162726749,BC11,0.01
DYNLL1,-0.03059181855180496,BC11,0.01
HINT2,-0.0009839689522591467,BC11,0.01
ESR1,-0.022061082170732067,BC11,0.01
NDUFS2,-0.05892697886425081,BC11,0.01
MRPS7,0.0488812724019122,BC11,0.01
TEX264,0.06291127607931508,BC11,0.01
CALR,-0.05766367705706303,BC11,0.01
CAPG,-0.013810321199537763,BC11,0.01
