gene,folds_selected
AMZ2,3
AREG,3
ATP5PD,3
ATP6AP1,3
BEX3,3
C1orf21,3
C20orf27,3
CHAD,3
CKS2,3
CLDN3,3
CNN3,3
COX4I1,3
COX6A1,3
COX6B1,3
COX7A2,3
COX8A,3
CYTOR,3
DBI,3
DGCR6L,3
DNPH1,3
DYNLRB1,3
EPN3,3
ETFB,3
FCGRT,3
FKBP4,3
FXYD3,3
GABARAPL2,3
GASK1B,3
GATA3,3
GPX1,3
H1-2,3
H2AJ,3
HERPUD1,3
HPN,3
HSBP1,3
HSP90AB1,3
HSPA1A,3
HSPD1,3
HSPE1,3
KCNJ3,3
KRT15,3
MPC2,3
MRPS7,3
MT-CO1,3
MT-CO2,3
MZT2B,3
NDUFA4,3
NDUFAB1,3
NR2F6,3
NUCB2,3
P4HTM,3
PEBP1,3
PIP,3
PPDPF,3
PRDX5,3
PRSS23,3
PVALB,3
PXMP2,3
RETREG1,3
RPL11,3
RPL26,3
RPL34,3
RPS25,3
RPS3,3
S100A10,3
S100A14,3
SAT1,3
SELENOP,3
SLC9A3R1,3
SNHG25,3
SOD1,3
STARD10,3
TBC1D9,3
TCIM,3
TIMP3,3
TM7SF2,3
TMEM160,3
TMEM230,3
TMSB4X,3
UBE2E3,3
ABHD12B,2
AC008555.4,2
ACO2,2
ACSF2,2
ACSS1,2
ACTG1,2
AFP,2
AGPAT1,2
AGTR1,2
AHCYL1,2
AL035661.1,2
ALB,2
ANAPC11,2
ANGPTL4,2
ANKRD26,2
ANKRD30A,2
ANXA9,2
APLP1,2
APOC1,2
APOE,2
APTR,2
AQP4,2
ARL6IP4,2
ASB9,2
ATP1A2,2
ATP5F1A,2
ATP5F1B,2
ATP5F1E,2
ATP5MC1,2
ATP5MC3,2
ATP5PB,2
ATP6AP2,2
ATXN10,2
AUTS2,2
BANF1,2
BASP1,2
BCAS1,2
BLCAP,2
BPTF,2
C18orf32,2
C1QTNF12,2
C1orf43,2
C20orf204,2
C7,2
C8orf82,2
CA14,2
CADM2,2
CALR,2
CAMK2N1,2
CANX,2
CAPG,2
CCDC167,2
CD163L1,2
CD59,2
CD9,2
CDH7,2
CEACAM6,2
CELF3,2
CGA,2
CHCHD10,2
CHST1,2
CISD3,2
CKB,2
CKMT1A,2
CLEC3A,2
CLSTN2,2
CLU,2
CMBL,2
CMTM6,2
CNTNAP4,2
COLEC12,2
COPRS,2
COPS9,2
CORO1B,2
COX14,2
COX17,2
COX5A,2
COX5B,2
COX7B,2
CP,2
CPE,2
CRTAC1,2
CSAD,2
CSAG1,2
CST2,2
CST3,2
CST5,2
CST9,2
CTSF,2
CTSH,2
CXCL17,2
CYB561,2
CYC1,2
CYP4B1,2
DACH1,2
DCAF6,2
DDX5,2
DHRS2,2
DHRS7,2
DIO1,2
DNAJA4,2
DNAJC12,2
DOCK10,2
DUSP15,2
DUT,2
DYNLL1,2
DYNLL2,2
ECI1,2
ECPAS,2
ELOVL2,2
EML2,2
ENPP4,2
ENPP5,2
EPHX4,2
ESR1,2
ESRRG,2
FAM117A,2
FAM120AOS,2
FAM3B,2
FBXL7,2
FGF12,2
FGF2,2
FHL2,2
FOLR1,2
FOXA1,2
FOXD3-AS1,2
GADD45G,2
GALC,2
GALNT1,2
GCSH,2
GGA2,2
GLCE,2
GLRX5,2
GPER1,2
GPR27,2
GRIA2,2
GRIA3,2
GTF2I,2
H2BC21,2
H2BC5,2
HACD3,2
HAPLN2,2
HAUS1,2
HDAC9,2
HDC,2
HEBP1,2
HELLPAR,2
HINT2,2
HOPX,2
HOXB2,2
HOXB5,2
HOXB8,2
HSD17B14,2
IDH1,2
IDH3A,2
IDNK,2
IGF1R,2
IGFBP4,2
IGFBP6,2
IGHG4,2
IGSF21,2
IGSF9,2
IL32,2
ING2,2
IRF2BPL,2
ISOC1,2
ISOC2,2
ITM2B,2
ITPK1,2
KCNC2,2
KIF12,2
KLHL5,2
KRT222,2
KRT7,2
LAMB3,2
LASP1,2
LDOC1,2
LERFS,2
LINC00173,2
LINGO1,2
LRATD1,2
LRP1B,2
LRRC24,2
LRRC4C,2
LRTM1,2
LY6G6C,2
LY6K,2
MAFB,2
MAGEA12,2
MAGED2,2
MAGI2,2
MARCHF6,2
MAST4,2
MDH1,2
MDH2,2
MDK,2
MEA1,2
METRN,2
MLLT11,2
MORF4L2,2
MRFAP1,2
MRFAP1L1,2
MRPL21,2
MRPL23,2
MRPL27,2
MRPS18A,2
MRPS23,2
MRPS24,2
MRPS26,2
MT-ATP6,2
MT1G,2
MT1M,2
MYBL2,2
MYO3B,2
MZT2A,2
NDRG2,2
NDUFA1,2
NDUFA12,2
NDUFA7,2
NDUFA8,2
NDUFAF3,2
NDUFAF8,2
NDUFB10,2
NDUFB4,2
NDUFB5,2
NDUFB7,2
NDUFB9,2
NDUFS2,2
NDUFS3,2
NDUFS6,2
NEAT1,2
NECAB1,2
NECAB3,2
NEFH,2
NELL2,2
NENF,2
NFASC,2
NFATC4,2
NFIX,2
NFKBIZ,2
NKD2,2
NME2,2
NORAD,2
NQO1,2
NRIP3,2
NRXN3,2
NXPH3,2
OCEL1,2
OLFML3,2
PAFAH1B3,2
PAQR5,2
PART1,2
PBX1,2
PCLO,2
PCMTD1,2
PCMTD2,2
PDE4DIP,2
PDGFD,2
PDHB,2
PDRG1,2
PDZK1,2
PDZK1IP1,2
PHF14,2
PHPT1,2
PIK3R1,2
PITX1,2
PLAAT3,2
PLBD1,2
PLCXD3,2
PNPLA4,2
POLR2L,2
PPP1CA,2
PPP1R14D,2
PPP1R3C,2
PRDX2,2
PRKAR1A,2
PRLR,2
PSIP1,2
PTGER3,2
PTHLH,2
PTMS,2
PYGL,2
RAB32,2
RBBP7,2
RBM24,2
RBP1,2
RBP5,2
RBP7,2
RERG,2
RGS16,2
RHBDD2,2
RNF139,2
RPL36,2
RPL36A,2
RPS29,2
RSBN1L,2
RTBDN,2
RTN2,2
RTN3,2
RUNDC3A,2
RUNX1,2
RWDD4,2
S100A11,2
S100A16,2
S100G,2
SAC3D1,2
SCD,2
SCRT1,2
SDHB,2
SEC11C,2
SELENOW,2
SEPTIN8,2
SERPINA5,2
SERPINI1,2
SGPP2,2
SH3BGRL3,2
SH3KBP1,2
SIX2,2
SKIL,2
SLC27A2,2
SLC2A10,2
SLC35B1,2
SLC39A6,2
SNHG8,2
SNX10,2
SORD,2
SOWAHA,2
SPARC,2
SPATA20,2
SPATA5,2
SPCS1,2
SPDYC,2
SPESP1,2
SRI,2
ST6GALNAC5,2
STAU2,2
STC1,2
STMN1,2
STRBP,2
SUMO2,2
SUSD3,2
SYAP1,2
SYT13,2
TAF1D,2
TCEAL1,2
TCTA,2
TESMIN,2
TEX264,2
THSD4,2
TIMP4,2
TMED2,2
TMEM108,2
TMEM134,2
TMEM145,2
TMEM14A,2
TMEM14B,2
TMEM150C,2
TMEM213,2
TMEM265,2
TMEM64,2
TMEM92,2
TNFRSF12A,2
TNNT1,2
TOMM6,2
TP53TG1,2
TPD52L1,2
TRH,2
TRMT112,2
TRUB1,2
TSPAN13,2
TXNIP,2
TYRP1,2
UQCR10,2
UQCRH,2
USP32,2
VAMP8,2
VAV3,2
VTN,2
VWA1,2
WASF2,2
WASHC3,2
WDR72,2
WWOX,2
YBX3,2
YIF1A,2
YIPF3,2
YWHAQ,2
ZBTB20,2
ZNF385D,2
ABHD12,1
ABHD14B,1
ABHD2,1
AC008268.1,1
AC061961.1,1
AC110619.1,1
ACADVL,1
ACE,1
ACTN2,1
ADCY1,1
ADI1,1
ADIPOR2,1
ADIRF,1
ADM,1
AFTPH,1
AGR2,1
AGR3,1
AK4,1
ALDH3B2,1
ANGPTL1,1
ANK1,1
ANKRD11,1
ANXA3,1
AP1S2,1
AP2B1,1
AP2S1,1
AP3S1,1
APRT,1
ARF3,1
ARHGAP29,1
ARHGDIB,1
ARID5B,1
ARL4D,1
ARPC1B,1
ARSD,1
ATP1B1,1
ATP5F1D,1
ATP5MC2,1
ATP5MD,1
ATP5ME,1
ATP5MPL,1
ATP6V1G1,1
AZGP1,1
BAG3,1
BATF,1
BCAM,1
BEX4,1
BLVRA,1
BLVRB,1
BRD2,1
BST2,1
BTF3,1
BTG2,1
C11orf58,1
C12orf57,1
C15orf61,1
C1orf115,1
C3orf14,1
C7orf50,1
CA12,1
CALM3,1
CALY,1
CAP2,1
CCDC115,1
CCDC151,1
CCDC34,1
CCDC85B,1
CCN1,1
CCND1,1
CD24,1
CD40,1
CD81,1
CD99,1
CDH1,1
CDKN1C,1
CDS2,1
CEACAM5,1
CENPX,1
CERS2,1
CFB,1
CHI3L1,1
CHPF,1
CHST8,1
CITED4,1
CLPTM1,1
CLTC,1
CMTM8,1
