test_sample,K,inner_auc_mean,inner_auc_std
BC11,50,0.9976476171921782,0.0014849345572341237
BC11,100,0.9992493889404901,0.0005273422559738747
BC11,250,0.9991587327664293,0.0009112388815143659
BC11,500,0.999291621014968,0.0004904770768397494
BC12,50,0.9906690642847487,0.001806741652853299
BC12,100,0.9943212252036092,0.001963783446978538
BC12,250,0.9959323833682537,0.001643431374194229
BC12,500,0.996679997718901,0.0011744179568967488
BC17,50,0.9893629904295903,0.002514367666720812
BC17,100,0.9901577147461156,0.0029683816138666563
BC17,250,0.9924062807529296,0.0024858197365187776
BC17,500,0.9939697547999075,0.002216976729241531
