integrated_rank,gene,final_integrated_score,final_tier,adjusted_biomarker_score,biomarker_score,avg_log2FC,absolute_log2FC,pct.1,pct.2,prevalence_difference,mean_sample_prevalence,minimum_sample_prevalence,maximum_sample_prevalence,consistency_category,sample_consistency_score,specificity_score,prevalence_score,significance_score,high_priority,robust_3sample,final_biological_category,biological_class,GO_BP_support,GO_CC_support,GO_MF_support,KEGG_support,pathway_support,epithelial_relevance,proliferation_relevance,mitochondrial_relevance,stress_relevance,metabolic_flag,biological_review_flag,strong_candidate,strong_3sample,review_category,final_review_status,pathway_support_score,biological_relevance_score,consistency_penalty,review_penalty,final_biological_score,tumor_priority_score,OXPHOS_priority_score,final_panel_rank,final_review_class,ML_folds_selected,ML_support,consensus_status
7,PRSS23,0.731177175465214,Tier_1_Tumor_Epithelial,0.767050935819276,0.767050935819276,1.57640748655421,1.57640748655421,0.739,0.378,0.361,0.758410723407786,0.465789473684211,0.920863309352518,Consistent_3_of_3,1,0.361,0.739,1.0,True,True,Epithelial_Tumor_Relevant,Epithelial_TumorAssociated,False,True,False,False,True,True,False,False,False,,Standard_candidate,True,True,Tumor_Epithelial,Standard,2,0.683410187163855,0,0,0.683410187163855,0.738467827536747,0.817915280745783,1,Tumor_Epithelial,3,Strong_ML_support,Strong_consensus
47,EPN3,0.675747068071565,Tier_1_Tumor_Epithelial,0.766,0.766,2.37194040602517,2.37194040602517,0.452,0.074,0.378,0.455457472462142,0.35,0.54874651810585,Consistent_3_of_3,1,0.378,0.452,1.0,True,True,Epithelial_Tumor_Relevant,Epithelial_TumorAssociated,False,True,False,False,True,True,False,False,False,,Standard_candidate,True,True,Tumor_Epithelial,Standard,2,0.6832,0,0,0.6832,0.6841,0.7602,2,Tumor_Epithelial,3,Strong_ML_support,Strong_consensus
9,FCGRT,0.7279716884174,Tier_1_Tumor_Epithelial,0.757529975309625,0.757529975309625,1.461839802477,1.461839802477,0.708,0.292,0.416,0.723525211497713,0.37883008356546,0.949640287769784,Consistent_3_of_3,1,0.416,0.708,1.0,True,True,Epithelial_Tumor_Relevant,Epithelial_TumorAssociated,False,True,False,False,True,True,False,False,False,,Standard_candidate,True,True,Tumor_Epithelial,Standard,2,0.681505995061925,0,0,0.681505995061925,0.739935491358369,0.808858992592888,3,Tumor_Epithelial,3,Strong_ML_support,Strong_consensus
93,ESR1,0.650898007284263,Tier_1_Tumor_Epithelial,0.717087884107616,0.717087884107616,1.35430307286093,1.35430307286093,0.618,0.247,0.371,0.636625008745386,0.410526315789474,0.805755395683453,Consistent_3_of_3,1,0.371,0.618,1.0,True,True,Epithelial_Tumor_Relevant,Epithelial_TumorAssociated,False,False,False,False,False,True,False,False,False,,Standard_candidate,True,True,Tumor_Epithelial,Standard,0,0.593417576821523,0,0,0.593417576821523,0.698780759437666,0.738726365232285,4,Tumor_Epithelial,2,Moderate_ML_support,Moderate_consensus
403,CDK4,0.535867854205297,Tier_1_Proliferation,0.556795215571176,0.556795215571176,0.506890945863032,0.506890945863032,0.534,0.328,0.206,0.523763209048653,0.431654676258993,0.660526315789474,Consistent_3_of_3,1,0.206,0.534,0.969558982255311,False,True,Proliferation_Relevant,Proliferation_CellCycle,False,True,False,False,True,False,True,False,False,,Standard_candidate,True,True,Proliferation,Standard,2,0.541359043114235,0,0,0.541359043114235,0.592878325449912,0.70927241200965,5,Proliferation,0,No_ML_recurrence,Bioinformatics_only
576,PCNA,0.466408909310927,Tier_1_Proliferation,0.513843548863385,0.513843548863385,0.555210909682802,0.555210909682802,0.339,0.178,0.161,0.35067117102389,0.284122562674095,0.47841726618705,Consistent_3_of_3,1,0.161,0.339,0.962947901020231,False,True,Proliferation_Relevant,Proliferation_CellCycle,False,True,False,False,True,False,True,False,False,,Standard_candidate,True,True,Proliferation,Standard,2,0.532768709772677,0,0,0.532768709772677,0.529845242102185,0.65639524981205,6,Proliferation,0,No_ML_recurrence,Bioinformatics_only
21,ATP5F1A,0.701494756227477,Tier_2_OXPHOS,0.774782182712209,0.774782182712209,1.78705746169767,1.78705746169767,0.789,0.571,0.218,0.772152054049474,0.564748201438849,0.983286908077994,Consistent_3_of_3,1,0.218,0.789,1.0,True,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.514956436542442,0,0,0.514956436542442,0.722573763949273,0.870234654813663,7,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
30,ETFB,0.687697613954743,Tier_2_OXPHOS,0.740547687662161,0.740547687662161,1.38518150129729,1.38518150129729,0.651,0.215,0.436,0.643616641652226,0.58273381294964,0.763157894736842,Consistent_3_of_3,1,0.436,0.651,1.0,True,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.508109537532432,0,0,0.508109537532432,0.726591690681756,0.832364306298648,8,Mitochondrial_OXPHOS,3,Strong_ML_support,Strong_consensus
15,COX7B,0.705287673580521,Tier_2_OXPHOS,0.724587398228997,0.724587398228997,1.13909918583198,1.13909918583198,0.957,0.753,0.204,0.955456312270225,0.935251798561151,0.991643454038997,Consistent_3_of_3,1,0.204,0.957,1.0,True,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.504917479645799,0,0,0.504917479645799,0.735805589380149,0.888776219468699,9,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
22,COX8A,0.699713647123647,Tier_2_OXPHOS,0.71394587758215,0.71394587758215,1.0635670206572,1.0635670206572,0.981,0.807,0.174,0.982162541481256,0.968421052631579,0.989208633093525,Consistent_3_of_3,1,0.174,0.981,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.50278917551643,0,0,0.50278917551643,0.730881057153753,0.890383763274645,10,Mitochondrial_OXPHOS,3,Strong_ML_support,Strong_consensus
