gene,folds_selected,in_final_50,consensus_status
COX8A,3,True,Strong_consensus
EPN3,3,True,Strong_consensus
ETFB,3,True,Strong_consensus
FCGRT,3,True,Strong_consensus
MRPS7,3,True,Strong_consensus
PRSS23,3,True,Strong_consensus
AMZ2,3,False,ML_3of3_only
AREG,3,False,ML_3of3_only
ATP5PD,3,False,ML_3of3_only
ATP6AP1,3,False,ML_3of3_only
BEX3,3,False,ML_3of3_only
C1orf21,3,False,ML_3of3_only
C20orf27,3,False,ML_3of3_only
CHAD,3,False,ML_3of3_only
CKS2,3,False,ML_3of3_only
CLDN3,3,False,ML_3of3_only
CNN3,3,False,ML_3of3_only
COX4I1,3,False,ML_3of3_only
COX6A1,3,False,ML_3of3_only
COX6B1,3,False,ML_3of3_only
COX7A2,3,False,ML_3of3_only
CYTOR,3,False,ML_3of3_only
DBI,3,False,ML_3of3_only
DGCR6L,3,False,ML_3of3_only
DNPH1,3,False,ML_3of3_only
DYNLRB1,3,False,ML_3of3_only
FKBP4,3,False,ML_3of3_only
FXYD3,3,False,ML_3of3_only
GABARAPL2,3,False,ML_3of3_only
GASK1B,3,False,ML_3of3_only
GATA3,3,False,ML_3of3_only
GPX1,3,False,ML_3of3_only
H1-2,3,False,ML_3of3_only
H2AJ,3,False,ML_3of3_only
HERPUD1,3,False,ML_3of3_only
HPN,3,False,ML_3of3_only
HSBP1,3,False,ML_3of3_only
HSP90AB1,3,False,ML_3of3_only
HSPA1A,3,False,ML_3of3_only
HSPD1,3,False,ML_3of3_only
HSPE1,3,False,ML_3of3_only
KCNJ3,3,False,ML_3of3_only
KRT15,3,False,ML_3of3_only
MPC2,3,False,ML_3of3_only
MT-CO1,3,False,ML_3of3_only
MT-CO2,3,False,ML_3of3_only
MZT2B,3,False,ML_3of3_only
NDUFA4,3,False,ML_3of3_only
NDUFAB1,3,False,ML_3of3_only
NR2F6,3,False,ML_3of3_only
NUCB2,3,False,ML_3of3_only
P4HTM,3,False,ML_3of3_only
PEBP1,3,False,ML_3of3_only
PIP,3,False,ML_3of3_only
PPDPF,3,False,ML_3of3_only
PRDX5,3,False,ML_3of3_only
PVALB,3,False,ML_3of3_only
PXMP2,3,False,ML_3of3_only
RETREG1,3,False,ML_3of3_only
RPL11,3,False,ML_3of3_only
RPL26,3,False,ML_3of3_only
RPL34,3,False,ML_3of3_only
RPS25,3,False,ML_3of3_only
RPS3,3,False,ML_3of3_only
S100A10,3,False,ML_3of3_only
S100A14,3,False,ML_3of3_only
SAT1,3,False,ML_3of3_only
SELENOP,3,False,ML_3of3_only
SLC9A3R1,3,False,ML_3of3_only
SNHG25,3,False,ML_3of3_only
SOD1,3,False,ML_3of3_only
STARD10,3,False,ML_3of3_only
TBC1D9,3,False,ML_3of3_only
TCIM,3,False,ML_3of3_only
TIMP3,3,False,ML_3of3_only
TM7SF2,3,False,ML_3of3_only
TMEM160,3,False,ML_3of3_only
TMEM230,3,False,ML_3of3_only
TMSB4X,3,False,ML_3of3_only
UBE2E3,3,False,ML_3of3_only
ATP5F1A,2,True,Moderate_consensus
ATP5F1B,2,True,Moderate_consensus
CALR,2,True,Moderate_consensus
COX5A,2,True,Moderate_consensus
COX5B,2,True,Moderate_consensus
COX7B,2,True,Moderate_consensus
CYB561,2,True,Moderate_consensus
CYC1,2,True,Moderate_consensus
ESR1,2,True,Moderate_consensus
IDH1,2,True,Moderate_consensus
MDH2,2,True,Moderate_consensus
MRPL23,2,True,Moderate_consensus
MRPL27,2,True,Moderate_consensus
MRPS18A,2,True,Moderate_consensus
MRPS23,2,True,Moderate_consensus
MRPS24,2,True,Moderate_consensus
MRPS26,2,True,Moderate_consensus
NDUFA1,2,True,Moderate_consensus
NDUFA12,2,True,Moderate_consensus
NDUFA7,2,True,Moderate_consensus
NDUFA8,2,True,Moderate_consensus
NDUFB10,2,True,Moderate_consensus
NDUFB4,2,True,Moderate_consensus
NDUFB5,2,True,Moderate_consensus
NDUFB7,2,True,Moderate_consensus
NDUFB9,2,True,Moderate_consensus
NDUFS2,2,True,Moderate_consensus
NDUFS3,2,True,Moderate_consensus
NDUFS6,2,True,Moderate_consensus
PDHB,2,True,Moderate_consensus
SORD,2,True,Moderate_consensus
UQCR10,2,True,Moderate_consensus
UQCRH,2,True,Moderate_consensus
ABHD12B,2,False,ML_2of3_only
AC008555.4,2,False,ML_2of3_only
ACO2,2,False,ML_2of3_only
ACSF2,2,False,ML_2of3_only
ACSS1,2,False,ML_2of3_only
ACTG1,2,False,ML_2of3_only
AFP,2,False,ML_2of3_only
AGPAT1,2,False,ML_2of3_only
AGTR1,2,False,ML_2of3_only
AHCYL1,2,False,ML_2of3_only
AL035661.1,2,False,ML_2of3_only
ALB,2,False,ML_2of3_only
ANAPC11,2,False,ML_2of3_only
ANGPTL4,2,False,ML_2of3_only
ANKRD26,2,False,ML_2of3_only
ANKRD30A,2,False,ML_2of3_only
ANXA9,2,False,ML_2of3_only
APLP1,2,False,ML_2of3_only
APOC1,2,False,ML_2of3_only
APOE,2,False,ML_2of3_only
APTR,2,False,ML_2of3_only
AQP4,2,False,ML_2of3_only
ARL6IP4,2,False,ML_2of3_only
ASB9,2,False,ML_2of3_only
ATP1A2,2,False,ML_2of3_only
ATP5F1E,2,False,ML_2of3_only
ATP5MC1,2,False,ML_2of3_only
ATP5MC3,2,False,ML_2of3_only
ATP5PB,2,False,ML_2of3_only
ATP6AP2,2,False,ML_2of3_only
ATXN10,2,False,ML_2of3_only
AUTS2,2,False,ML_2of3_only
BANF1,2,False,ML_2of3_only
BASP1,2,False,ML_2of3_only
BCAS1,2,False,ML_2of3_only
BLCAP,2,False,ML_2of3_only
BPTF,2,False,ML_2of3_only
C18orf32,2,False,ML_2of3_only
C1QTNF12,2,False,ML_2of3_only
C1orf43,2,False,ML_2of3_only
C20orf204,2,False,ML_2of3_only
C7,2,False,ML_2of3_only
C8orf82,2,False,ML_2of3_only
CA14,2,False,ML_2of3_only
CADM2,2,False,ML_2of3_only
CAMK2N1,2,False,ML_2of3_only
CANX,2,False,ML_2of3_only
CAPG,2,False,ML_2of3_only
CCDC167,2,False,ML_2of3_only
CD163L1,2,False,ML_2of3_only
CD59,2,False,ML_2of3_only
CD9,2,False,ML_2of3_only
CDH7,2,False,ML_2of3_only
CEACAM6,2,False,ML_2of3_only
CELF3,2,False,ML_2of3_only
CGA,2,False,ML_2of3_only
CHCHD10,2,False,ML_2of3_only
CHST1,2,False,ML_2of3_only
CISD3,2,False,ML_2of3_only
CKB,2,False,ML_2of3_only
CKMT1A,2,False,ML_2of3_only
CLEC3A,2,False,ML_2of3_only
CLSTN2,2,False,ML_2of3_only
CLU,2,False,ML_2of3_only
CMBL,2,False,ML_2of3_only
CMTM6,2,False,ML_2of3_only
CNTNAP4,2,False,ML_2of3_only
COLEC12,2,False,ML_2of3_only
COPRS,2,False,ML_2of3_only
COPS9,2,False,ML_2of3_only
CORO1B,2,False,ML_2of3_only
COX14,2,False,ML_2of3_only
COX17,2,False,ML_2of3_only
CP,2,False,ML_2of3_only
CPE,2,False,ML_2of3_only
CRTAC1,2,False,ML_2of3_only
CSAD,2,False,ML_2of3_only
CSAG1,2,False,ML_2of3_only
CST2,2,False,ML_2of3_only
CST3,2,False,ML_2of3_only
CST5,2,False,ML_2of3_only
CST9,2,False,ML_2of3_only
CTSF,2,False,ML_2of3_only
CTSH,2,False,ML_2of3_only
CXCL17,2,False,ML_2of3_only
CYP4B1,2,False,ML_2of3_only
DACH1,2,False,ML_2of3_only
DCAF6,2,False,ML_2of3_only
DDX5,2,False,ML_2of3_only
DHRS2,2,False,ML_2of3_only
DHRS7,2,False,ML_2of3_only
DIO1,2,False,ML_2of3_only
DNAJA4,2,False,ML_2of3_only
DNAJC12,2,False,ML_2of3_only
DOCK10,2,False,ML_2of3_only
DUSP15,2,False,ML_2of3_only
DUT,2,False,ML_2of3_only
DYNLL1,2,False,ML_2of3_only
DYNLL2,2,False,ML_2of3_only
ECI1,2,False,ML_2of3_only
ECPAS,2,False,ML_2of3_only
ELOVL2,2,False,ML_2of3_only
EML2,2,False,ML_2of3_only
ENPP4,2,False,ML_2of3_only
ENPP5,2,False,ML_2of3_only
EPHX4,2,False,ML_2of3_only
ESRRG,2,False,ML_2of3_only
FAM117A,2,False,ML_2of3_only
FAM120AOS,2,False,ML_2of3_only
FAM3B,2,False,ML_2of3_only
FBXL7,2,False,ML_2of3_only
FGF12,2,False,ML_2of3_only
FGF2,2,False,ML_2of3_only
FHL2,2,False,ML_2of3_only
FOLR1,2,False,ML_2of3_only
FOXA1,2,False,ML_2of3_only
FOXD3-AS1,2,False,ML_2of3_only
GADD45G,2,False,ML_2of3_only
GALC,2,False,ML_2of3_only
GALNT1,2,False,ML_2of3_only
GCSH,2,False,ML_2of3_only
GGA2,2,False,ML_2of3_only
GLCE,2,False,ML_2of3_only
GLRX5,2,False,ML_2of3_only
GPER1,2,False,ML_2of3_only
GPR27,2,False,ML_2of3_only
GRIA2,2,False,ML_2of3_only
GRIA3,2,False,ML_2of3_only
GTF2I,2,False,ML_2of3_only
H2BC21,2,False,ML_2of3_only
H2BC5,2,False,ML_2of3_only
HACD3,2,False,ML_2of3_only
HAPLN2,2,False,ML_2of3_only
HAUS1,2,False,ML_2of3_only
HDAC9,2,False,ML_2of3_only
HDC,2,False,ML_2of3_only
HEBP1,2,False,ML_2of3_only
HELLPAR,2,False,ML_2of3_only
HINT2,2,False,ML_2of3_only
HOPX,2,False,ML_2of3_only
HOXB2,2,False,ML_2of3_only
HOXB5,2,False,ML_2of3_only
HOXB8,2,False,ML_2of3_only
HSD17B14,2,False,ML_2of3_only
IDH3A,2,False,ML_2of3_only
IDNK,2,False,ML_2of3_only
IGF1R,2,False,ML_2of3_only
IGFBP4,2,False,ML_2of3_only
IGFBP6,2,False,ML_2of3_only
IGHG4,2,False,ML_2of3_only
IGSF21,2,False,ML_2of3_only
IGSF9,2,False,ML_2of3_only
IL32,2,False,ML_2of3_only
ING2,2,False,ML_2of3_only
IRF2BPL,2,False,ML_2of3_only
ISOC1,2,False,ML_2of3_only
ISOC2,2,False,ML_2of3_only
ITM2B,2,False,ML_2of3_only
ITPK1,2,False,ML_2of3_only
KCNC2,2,False,ML_2of3_only
KIF12,2,False,ML_2of3_only
KLHL5,2,False,ML_2of3_only
KRT222,2,False,ML_2of3_only
KRT7,2,False,ML_2of3_only
LAMB3,2,False,ML_2of3_only
LASP1,2,False,ML_2of3_only
LDOC1,2,False,ML_2of3_only
LERFS,2,False,ML_2of3_only
LINC00173,2,False,ML_2of3_only
LINGO1,2,False,ML_2of3_only
LRATD1,2,False,ML_2of3_only
LRP1B,2,False,ML_2of3_only
LRRC24,2,False,ML_2of3_only
LRRC4C,2,False,ML_2of3_only
LRTM1,2,False,ML_2of3_only
LY6G6C,2,False,ML_2of3_only
LY6K,2,False,ML_2of3_only
MAFB,2,False,ML_2of3_only
MAGEA12,2,False,ML_2of3_only
MAGED2,2,False,ML_2of3_only
MAGI2,2,False,ML_2of3_only
MARCHF6,2,False,ML_2of3_only
MAST4,2,False,ML_2of3_only
MDH1,2,False,ML_2of3_only
MDK,2,False,ML_2of3_only
MEA1,2,False,ML_2of3_only
METRN,2,False,ML_2of3_only
MLLT11,2,False,ML_2of3_only
MORF4L2,2,False,ML_2of3_only
MRFAP1,2,False,ML_2of3_only
MRFAP1L1,2,False,ML_2of3_only
MRPL21,2,False,ML_2of3_only
MT-ATP6,2,False,ML_2of3_only
MT1G,2,False,ML_2of3_only
MT1M,2,False,ML_2of3_only
MYBL2,2,False,ML_2of3_only
MYO3B,2,False,ML_2of3_only
MZT2A,2,False,ML_2of3_only
NDRG2,2,False,ML_2of3_only
NDUFAF3,2,False,ML_2of3_only
NDUFAF8,2,False,ML_2of3_only
NEAT1,2,False,ML_2of3_only
NECAB1,2,False,ML_2of3_only
NECAB3,2,False,ML_2of3_only
NEFH,2,False,ML_2of3_only
NELL2,2,False,ML_2of3_only
NENF,2,False,ML_2of3_only
NFASC,2,False,ML_2of3_only
NFATC4,2,False,ML_2of3_only
NFIX,2,False,ML_2of3_only
NFKBIZ,2,False,ML_2of3_only
NKD2,2,False,ML_2of3_only
NME2,2,False,ML_2of3_only
NORAD,2,False,ML_2of3_only
NQO1,2,False,ML_2of3_only
NRIP3,2,False,ML_2of3_only
NRXN3,2,False,ML_2of3_only
NXPH3,2,False,ML_2of3_only
OCEL1,2,False,ML_2of3_only
OLFML3,2,False,ML_2of3_only
PAFAH1B3,2,False,ML_2of3_only
PAQR5,2,False,ML_2of3_only
PART1,2,False,ML_2of3_only
PBX1,2,False,ML_2of3_only
PCLO,2,False,ML_2of3_only
PCMTD1,2,False,ML_2of3_only
PCMTD2,2,False,ML_2of3_only
PDE4DIP,2,False,ML_2of3_only
PDGFD,2,False,ML_2of3_only
PDRG1,2,False,ML_2of3_only
PDZK1,2,False,ML_2of3_only
PDZK1IP1,2,False,ML_2of3_only
PHF14,2,False,ML_2of3_only
PHPT1,2,False,ML_2of3_only
PIK3R1,2,False,ML_2of3_only
PITX1,2,False,ML_2of3_only
PLAAT3,2,False,ML_2of3_only
PLBD1,2,False,ML_2of3_only
PLCXD3,2,False,ML_2of3_only
PNPLA4,2,False,ML_2of3_only
POLR2L,2,False,ML_2of3_only
PPP1CA,2,False,ML_2of3_only
PPP1R14D,2,False,ML_2of3_only
PPP1R3C,2,False,ML_2of3_only
PRDX2,2,False,ML_2of3_only
PRKAR1A,2,False,ML_2of3_only
PRLR,2,False,ML_2of3_only
PSIP1,2,False,ML_2of3_only
PTGER3,2,False,ML_2of3_only
PTHLH,2,False,ML_2of3_only
PTMS,2,False,ML_2of3_only
PYGL,2,False,ML_2of3_only
RAB32,2,False,ML_2of3_only
RBBP7,2,False,ML_2of3_only
RBM24,2,False,ML_2of3_only
RBP1,2,False,ML_2of3_only
RBP5,2,False,ML_2of3_only
RBP7,2,False,ML_2of3_only
RERG,2,False,ML_2of3_only
RGS16,2,False,ML_2of3_only
RHBDD2,2,False,ML_2of3_only
RNF139,2,False,ML_2of3_only
RPL36,2,False,ML_2of3_only
RPL36A,2,False,ML_2of3_only
RPS29,2,False,ML_2of3_only
RSBN1L,2,False,ML_2of3_only
RTBDN,2,False,ML_2of3_only
RTN2,2,False,ML_2of3_only
RTN3,2,False,ML_2of3_only
RUNDC3A,2,False,ML_2of3_only
RUNX1,2,False,ML_2of3_only
RWDD4,2,False,ML_2of3_only
S100A11,2,False,ML_2of3_only
S100A16,2,False,ML_2of3_only
S100G,2,False,ML_2of3_only
SAC3D1,2,False,ML_2of3_only
SCD,2,False,ML_2of3_only
SCRT1,2,False,ML_2of3_only
SDHB,2,False,ML_2of3_only
SEC11C,2,False,ML_2of3_only
SELENOW,2,False,ML_2of3_only
SEPTIN8,2,False,ML_2of3_only
SERPINA5,2,False,ML_2of3_only
SERPINI1,2,False,ML_2of3_only
SGPP2,2,False,ML_2of3_only
SH3BGRL3,2,False,ML_2of3_only
SH3KBP1,2,False,ML_2of3_only
SIX2,2,False,ML_2of3_only
SKIL,2,False,ML_2of3_only
SLC27A2,2,False,ML_2of3_only
SLC2A10,2,False,ML_2of3_only
SLC35B1,2,False,ML_2of3_only
SLC39A6,2,False,ML_2of3_only
SNHG8,2,False,ML_2of3_only
SNX10,2,False,ML_2of3_only
SOWAHA,2,False,ML_2of3_only
SPARC,2,False,ML_2of3_only
SPATA20,2,False,ML_2of3_only
SPATA5,2,False,ML_2of3_only
SPCS1,2,False,ML_2of3_only
SPDYC,2,False,ML_2of3_only
SPESP1,2,False,ML_2of3_only
SRI,2,False,ML_2of3_only
ST6GALNAC5,2,False,ML_2of3_only
STAU2,2,False,ML_2of3_only
STC1,2,False,ML_2of3_only
STMN1,2,False,ML_2of3_only
STRBP,2,False,ML_2of3_only
SUMO2,2,False,ML_2of3_only
SUSD3,2,False,ML_2of3_only
SYAP1,2,False,ML_2of3_only
SYT13,2,False,ML_2of3_only
TAF1D,2,False,ML_2of3_only
TCEAL1,2,False,ML_2of3_only
TCTA,2,False,ML_2of3_only
TESMIN,2,False,ML_2of3_only
TEX264,2,False,ML_2of3_only
THSD4,2,False,ML_2of3_only
TIMP4,2,False,ML_2of3_only
TMED2,2,False,ML_2of3_only
TMEM108,2,False,ML_2of3_only
TMEM134,2,False,ML_2of3_only
TMEM145,2,False,ML_2of3_only
TMEM14A,2,False,ML_2of3_only
TMEM14B,2,False,ML_2of3_only
TMEM150C,2,False,ML_2of3_only
TMEM213,2,False,ML_2of3_only
TMEM265,2,False,ML_2of3_only
TMEM64,2,False,ML_2of3_only
TMEM92,2,False,ML_2of3_only
TNFRSF12A,2,False,ML_2of3_only
