gene,folds_selected,ML_recurrence_group
AMZ2,3,3_of_3
AREG,3,3_of_3
ATP5PD,3,3_of_3
ATP6AP1,3,3_of_3
BEX3,3,3_of_3
C1orf21,3,3_of_3
C20orf27,3,3_of_3
CHAD,3,3_of_3
CKS2,3,3_of_3
CLDN3,3,3_of_3
CNN3,3,3_of_3
COX4I1,3,3_of_3
COX6A1,3,3_of_3
COX6B1,3,3_of_3
COX7A2,3,3_of_3
CYTOR,3,3_of_3
DBI,3,3_of_3
DGCR6L,3,3_of_3
DNPH1,3,3_of_3
DYNLRB1,3,3_of_3
FKBP4,3,3_of_3
FXYD3,3,3_of_3
GABARAPL2,3,3_of_3
GASK1B,3,3_of_3
GATA3,3,3_of_3
GPX1,3,3_of_3
H1-2,3,3_of_3
H2AJ,3,3_of_3
HERPUD1,3,3_of_3
HPN,3,3_of_3
HSBP1,3,3_of_3
HSP90AB1,3,3_of_3
HSPA1A,3,3_of_3
HSPD1,3,3_of_3
HSPE1,3,3_of_3
KCNJ3,3,3_of_3
KRT15,3,3_of_3
MPC2,3,3_of_3
MT-CO1,3,3_of_3
MT-CO2,3,3_of_3
MZT2B,3,3_of_3
NDUFA4,3,3_of_3
NDUFAB1,3,3_of_3
NR2F6,3,3_of_3
NUCB2,3,3_of_3
P4HTM,3,3_of_3
PEBP1,3,3_of_3
PIP,3,3_of_3
PPDPF,3,3_of_3
PRDX5,3,3_of_3
PVALB,3,3_of_3
PXMP2,3,3_of_3
RETREG1,3,3_of_3
RPL11,3,3_of_3
RPL26,3,3_of_3
RPL34,3,3_of_3
RPS25,3,3_of_3
RPS3,3,3_of_3
S100A10,3,3_of_3
S100A14,3,3_of_3
SAT1,3,3_of_3
SELENOP,3,3_of_3
SLC9A3R1,3,3_of_3
SNHG25,3,3_of_3
SOD1,3,3_of_3
STARD10,3,3_of_3
TBC1D9,3,3_of_3
TCIM,3,3_of_3
TIMP3,3,3_of_3
TM7SF2,3,3_of_3
TMEM160,3,3_of_3
TMEM230,3,3_of_3
TMSB4X,3,3_of_3
UBE2E3,3,3_of_3
ABHD12B,2,2_of_3
AC008555.4,2,2_of_3
ACO2,2,2_of_3
ACSF2,2,2_of_3
ACSS1,2,2_of_3
ACTG1,2,2_of_3
AFP,2,2_of_3
AGPAT1,2,2_of_3
AGTR1,2,2_of_3
AHCYL1,2,2_of_3
AL035661.1,2,2_of_3
ALB,2,2_of_3
ANAPC11,2,2_of_3
ANGPTL4,2,2_of_3
ANKRD26,2,2_of_3
ANKRD30A,2,2_of_3
ANXA9,2,2_of_3
APLP1,2,2_of_3
APOC1,2,2_of_3
APOE,2,2_of_3
APTR,2,2_of_3
AQP4,2,2_of_3
ARL6IP4,2,2_of_3
ASB9,2,2_of_3
ATP1A2,2,2_of_3
ATP5F1E,2,2_of_3
ATP5MC1,2,2_of_3
ATP5MC3,2,2_of_3
ATP5PB,2,2_of_3
ATP6AP2,2,2_of_3
ATXN10,2,2_of_3
AUTS2,2,2_of_3
BANF1,2,2_of_3
BASP1,2,2_of_3
BCAS1,2,2_of_3
BLCAP,2,2_of_3
BPTF,2,2_of_3
C18orf32,2,2_of_3
C1QTNF12,2,2_of_3
C1orf43,2,2_of_3
C20orf204,2,2_of_3
C7,2,2_of_3
C8orf82,2,2_of_3
CA14,2,2_of_3
CADM2,2,2_of_3
CAMK2N1,2,2_of_3
CANX,2,2_of_3
CAPG,2,2_of_3
CCDC167,2,2_of_3
CD163L1,2,2_of_3
CD59,2,2_of_3
CD9,2,2_of_3
CDH7,2,2_of_3
CEACAM6,2,2_of_3
