gene,ML_folds_selected,bioinformatics_final_50,consensus_level
ATP5F1A,2,True,Moderate_consensus
ATP5F1B,2,True,Moderate_consensus
CALR,2,True,Moderate_consensus
COX5A,2,True,Moderate_consensus
COX5B,2,True,Moderate_consensus
COX7B,2,True,Moderate_consensus
CYB561,2,True,Moderate_consensus
CYC1,2,True,Moderate_consensus
ESR1,2,True,Moderate_consensus
IDH1,2,True,Moderate_consensus
MDH2,2,True,Moderate_consensus
MRPL23,2,True,Moderate_consensus
MRPL27,2,True,Moderate_consensus
MRPS18A,2,True,Moderate_consensus
MRPS23,2,True,Moderate_consensus
MRPS24,2,True,Moderate_consensus
MRPS26,2,True,Moderate_consensus
NDUFA1,2,True,Moderate_consensus
NDUFA12,2,True,Moderate_consensus
NDUFA7,2,True,Moderate_consensus
NDUFA8,2,True,Moderate_consensus
NDUFB10,2,True,Moderate_consensus
NDUFB4,2,True,Moderate_consensus
NDUFB5,2,True,Moderate_consensus
NDUFB7,2,True,Moderate_consensus
NDUFB9,2,True,Moderate_consensus
NDUFS2,2,True,Moderate_consensus
NDUFS3,2,True,Moderate_consensus
NDUFS6,2,True,Moderate_consensus
PDHB,2,True,Moderate_consensus
SORD,2,True,Moderate_consensus
UQCR10,2,True,Moderate_consensus
UQCRH,2,True,Moderate_consensus
