"sample_id","cell_type","cell_count"
"BC03","B_Cells",14
"BC05","B_Cells",11
"BC06","B_Cells",22
"BC08","B_Cells",86
"BC11","B_Cells",2
"BC12","B_Cells",19
"BC14","B_Cells",42
"BC15","B_Cells",25
"BC17","B_Cells",26
"BC03","Basal_Epithelial",11
"BC05","Basal_Epithelial",17
"BC06","Basal_Epithelial",57
"BC08","Basal_Epithelial",19
"BC11","Basal_Epithelial",1
"BC12","Basal_Epithelial",6
"BC14","Basal_Epithelial",19
"BC15","Basal_Epithelial",54
"BC17","Basal_Epithelial",0
"BC03","Basal_Like_Epithelial",211
"BC05","Basal_Like_Epithelial",105
"BC06","Basal_Like_Epithelial",823
"BC08","Basal_Like_Epithelial",118
"BC11","Basal_Like_Epithelial",159
"BC12","Basal_Like_Epithelial",501
"BC14","Basal_Like_Epithelial",288
"BC15","Basal_Like_Epithelial",1915
"BC17","Basal_Like_Epithelial",77
"BC03","Cycling_Proliferating",30
"BC05","Cycling_Proliferating",234
"BC06","Cycling_Proliferating",35
"BC08","Cycling_Proliferating",219
"BC11","Cycling_Proliferating",255
"BC12","Cycling_Proliferating",247
"BC14","Cycling_Proliferating",11
"BC15","Cycling_Proliferating",68
"BC17","Cycling_Proliferating",84
"BC03","Cytotoxic_NK_T",271
"BC05","Cytotoxic_NK_T",85
"BC06","Cytotoxic_NK_T",102
"BC08","Cytotoxic_NK_T",194
"BC11","Cytotoxic_NK_T",7
"BC12","Cytotoxic_NK_T",431
"BC14","Cytotoxic_NK_T",373
"BC15","Cytotoxic_NK_T",149
"BC17","Cytotoxic_NK_T",145
"BC03","Endothelial",76
"BC05","Endothelial",0
"BC06","Endothelial",40
"BC08","Endothelial",1
"BC11","Endothelial",10
"BC12","Endothelial",1
"BC14","Endothelial",37
"BC15","Endothelial",27
"BC17","Endothelial",68
"BC03","Fibroblast_CAF",130
"BC05","Fibroblast_CAF",5
"BC06","Fibroblast_CAF",184
"BC08","Fibroblast_CAF",38
"BC11","Fibroblast_CAF",31
"BC12","Fibroblast_CAF",15
"BC14","Fibroblast_CAF",647
"BC15","Fibroblast_CAF",61
"BC17","Fibroblast_CAF",21
"BC03","Luminal_Epithelial",821
"BC05","Luminal_Epithelial",1183
"BC06","Luminal_Epithelial",975
"BC08","Luminal_Epithelial",1844
"BC11","Luminal_Epithelial",2781
"BC12","Luminal_Epithelial",1364
"BC14","Luminal_Epithelial",579
"BC15","Luminal_Epithelial",961
"BC17","Luminal_Epithelial",1702
"BC03","Macrophages",31
"BC05","Macrophages",57
"BC06","Macrophages",52
"BC08","Macrophages",51
"BC11","Macrophages",30
"BC12","Macrophages",55
"BC14","Macrophages",79
"BC15","Macrophages",51
"BC17","Macrophages",164
"BC03","Specialized_Epithelial",1
"BC05","Specialized_Epithelial",84
"BC06","Specialized_Epithelial",6
"BC08","Specialized_Epithelial",836
"BC11","Specialized_Epithelial",5
"BC12","Specialized_Epithelial",34
"BC14","Specialized_Epithelial",14
"BC15","Specialized_Epithelial",3
"BC17","Specialized_Epithelial",0
"BC03","T_Cells",322
"BC05","T_Cells",21
"BC06","T_Cells",135
"BC08","T_Cells",137
"BC11","T_Cells",4
"BC12","T_Cells",346
"BC14","T_Cells",488
"BC15","T_Cells",196
"BC17","T_Cells",203
