"cluster","cell_type","confidence","key_markers"
0,"Luminal_Epithelial","Medium","EPCAM, KRT8, KRT18, KRT19, GATA3"
1,"Luminal_Epithelial","Medium","EPCAM, KRT8, KRT18, KRT19, NQO1, FBP1"
2,"Basal_Like_Epithelial","High","SPNS2, CA9, KRT80, S100A2, LAMC2"
3,"Luminal_Epithelial","High","ANKRD30A, VMP1, ELF3, CDK5RAP3"
4,"T_Cells","High","TRAC, CD3D, CD3E, IL7R, LTB, CD2"
5,"Cytotoxic_NK_T","Very_High","NKG7, GNLY, GZMB, GZMH, CD8A, CD8B, KLRK1"
6,"Cycling_Proliferating","Very_High","MKI67, TOP2A, UBE2C, BIRC5, PBK, FOXM1"
7,"Fibroblast_CAF","Very_High","COL14A1, COL3A1, COL1A2, SFRP2, SFRP4, MFAP4"
8,"Specialized_Epithelial","Medium","LACRT, CXCL14, CXCL13, CA2, MUC5B"
9,"Macrophages","Very_High","FOLR2, C1QA, C1QB, C1QC, TREM2, MSR1, CSF1R"
10,"Endothelial","Very_High","EMCN, CLEC14A, CDH5, PLVAP, ESM1, CLDN5"
11,"B_Cells","Very_High","MS4A1, CD79A, CD37, HLA-DRA, HLA-DRB1, IGKC"
12,"Basal_Epithelial","Very_High","KLK5, KRT5, KRT14, KRT6B, GABRP, MMP7"
13,"Luminal_Epithelial","High","APOD, CALML5, MUCL1, SPINK8, IGFBP5, PIP"
