"Var1","Var2","Freq"
"0","BC03",365
"1","BC03",258
"2","BC03",211
"3","BC03",189
"4","BC03",322
"5","BC03",271
"6","BC03",30
"7","BC03",130
"8","BC03",1
"9","BC03",31
"10","BC03",76
"11","BC03",14
"12","BC03",11
"13","BC03",9
"0","BC05",571
"1","BC05",379
"2","BC05",105
"3","BC05",174
"4","BC05",21
"5","BC05",85
"6","BC05",234
"7","BC05",5
"8","BC05",84
"9","BC05",57
"10","BC05",0
"11","BC05",11
"12","BC05",17
"13","BC05",59
"0","BC06",409
"1","BC06",372
"2","BC06",823
"3","BC06",194
"4","BC06",135
"5","BC06",102
"6","BC06",35
"7","BC06",184
"8","BC06",6
"9","BC06",52
"10","BC06",40
"11","BC06",22
"12","BC06",57
"13","BC06",0
"0","BC08",570
"1","BC08",703
"2","BC08",118
"3","BC08",468
"4","BC08",137
"5","BC08",194
"6","BC08",219
"7","BC08",38
"8","BC08",836
"9","BC08",51
"10","BC08",1
"11","BC08",86
"12","BC08",19
"13","BC08",103
"0","BC11",1168
"1","BC11",1084
"2","BC11",159
"3","BC11",529
"4","BC11",4
"5","BC11",7
"6","BC11",255
"7","BC11",31
"8","BC11",5
"9","BC11",30
"10","BC11",10
"11","BC11",2
"12","BC11",1
"13","BC11",0
"0","BC12",888
"1","BC12",281
"2","BC12",501
"3","BC12",189
"4","BC12",346
"5","BC12",431
"6","BC12",247
"7","BC12",15
"8","BC12",34
"9","BC12",55
"10","BC12",1
"11","BC12",19
"12","BC12",6
"13","BC12",6
"0","BC14",224
"1","BC14",212
"2","BC14",288
"3","BC14",143
"4","BC14",488
"5","BC14",373
"6","BC14",11
"7","BC14",647
"8","BC14",14
"9","BC14",79
"10","BC14",37
"11","BC14",42
"12","BC14",19
"13","BC14",0
"0","BC15",401
"1","BC15",355
"2","BC15",1915
"3","BC15",204
"4","BC15",196
"5","BC15",149
"6","BC15",68
"7","BC15",61
"8","BC15",3
"9","BC15",51
"10","BC15",27
"11","BC15",25
"12","BC15",54
"13","BC15",1
"0","BC17",705
"1","BC17",853
"2","BC17",77
"3","BC17",144
"4","BC17",203
"5","BC17",145
"6","BC17",84
"7","BC17",21
"8","BC17",0
"9","BC17",164
"10","BC17",68
"11","BC17",26
"12","BC17",0
"13","BC17",0
