"ParamID","pK","MeanBC","VarBC","BCmetric"
1,"5e-04",0.840927941395045,0.00394866712914318,212.965011709538
2,"0.001",0.805912998089562,0.00390399114317323,206.43310103273
3,"0.005",0.833623879711297,0.000979215508509566,851.318093378781
4,"0.01",0.764779252824798,0.00169093483153556,452.281920368447
5,"0.02",0.661454795783465,0.00366657352475679,180.401345102534
6,"0.03",0.640079415570371,0.00610255755475338,104.887075595347
7,"0.04",0.630501756822881,0.0088879120084291,70.9392437981977
8,"0.05",0.653570637173947,0.00219716694054358,297.460618541919
9,"0.06",0.59586857541438,0.00572726027533647,104.040771113615
10,"0.07",0.4578288466861,0.00513814092918656,89.1039878033437
11,"0.08",0.527134016640686,0.003599050935909,146.464728070749
12,"0.09",0.50911686597651,0.0150180758132614,33.9002727318066
13,"0.1",0.583859768006894,0.0116600354577145,50.0735842634684
14,"0.11",0.621345970544663,0.00700542103674364,88.6950216533289
15,"0.12",0.631956340381105,0.00241338058911795,261.855234615969
16,"0.13",0.544944951816775,0.00158367368838711,344.101790547377
17,"0.14",0.486429416469892,0.00302608237762027,160.745596374816
18,"0.15",0.51291444947233,0.00870769790245926,58.9035650085508
19,"0.16",0.551021409086677,0.00928269835854003,59.360046810068
20,"0.17",0.592339774978071,0.00647626357373493,91.4631976036858
21,"0.18",0.634645347138559,0.00367813266592934,172.54552915323
22,"0.19",0.67056159001785,0.00232602901154867,288.285995870443
23,"0.2",0.696084445968742,0.00169435002834021,410.826826999041
24,"0.21",0.714474286571005,0.00176130189915986,405.65123271133
25,"0.22",0.729391481119775,0.00217253679439483,335.732625105182
26,"0.23",0.743011888042344,0.00254347537868334,292.124663076933
27,"0.24",0.752927645489112,0.00288931652509904,260.590225732815
28,"0.25",0.758392961828451,0.00282642406916675,268.32242553469
29,"0.26",0.758513433163078,0.00298129772465333,254.423913080093
30,"0.27",0.756611675996518,0.00295410740094405,256.1219256127
31,"0.28",0.751823554137933,0.00272258551158674,276.143228904412
32,"0.29",0.74466610136654,0.0027386417851093,271.910735246749
33,"0.3",0.738115780524101,0.0022929571975178,321.905607886241
