"gene","mean_expression","expressing_fraction"
"EPCAM",1.1554416749756,0.887905604719764
"KRT8",1.80304392178136,0.949852507374631
"KRT18",2.30204827289421,0.985250737463127
"KRT19",2.87291267700529,0.991150442477876
"KRT5",0,0
"KRT14",0.022138273191302,0.0294985250737463
"KRT17",0.000489591289458605,0.000983284169124877
"MKI67",0.0102744143041207,0.0167158308751229
"TOP2A",0.00755146050562484,0.0176991150442478
"MMP9",0.0146530890603686,0.0265486725663717
"MMP11",0.0175218294055986,0.0304818092428712
"CEACAM6",0.390769546441652,0.361848574237955
"MUC1",1.04744699424549,0.703048180924287
"ERBB2",0.379585389813242,0.440511307767945
"ESR1",0.600523217359764,0.618485742379548
"PGR",0.0109845806786931,0.0245821042281219
