"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.88678402292364e-54,-2.90783349571149,0.378,0.877,6.91053516236012e-50,"TNFRSF12A"
3.39265010376462e-43,-2.80103594708811,0.434,0.838,1.24259202700483e-38,"S100A10"
1.14642597393859e-38,-2.65329781498796,0.313,0.747,4.19889977214748e-34,"TM4SF1"
5.08364192011964e-36,-4.87682549946864,0.051,0.37,1.86193468966302e-31,"PHLDA1"
8.80577108007989e-36,-4.56934864069241,0.018,0.266,3.22520171579006e-31,"KRT80"
2.14775412934041e-34,-2.93155817753472,0.149,0.558,7.86636427412218e-30,"EMP1"
2.92922121655714e-33,-2.80576873297272,0.207,0.63,1.07285656277622e-28,"CNN3"
7.10161093497747e-33,-2.24797185395746,0.248,0.675,2.60103602104485e-28,"CYTOR"
5.61102795937005e-32,-2.60417579582098,0.194,0.597,2.05509510039887e-27,"RAP2B"
2.00341892438358e-31,-2.1127855615149,0.312,0.727,7.33772215244731e-27,"USP53"
7.77050595400441e-31,-4.81381834134653,0.021,0.253,2.84602551071365e-26,"CALD1"
8.92707292645964e-31,-2.80302362937266,0.11,0.468,3.26962973004511e-26,"COTL1"
1.41340670226884e-30,-2.29178317900813,0.841,0.974,5.17674338772985e-26,"SAT1"
2.79187569888428e-30,-1.81922940382741,0.436,0.831,1.02255239347336e-25,"PHLDA2"
7.40300282894436e-30,-2.7931684638944,0.089,0.429,2.71142381612916e-25,"RND3"
8.7399812095351e-30,-2.5358703036605,0.158,0.545,3.20110551780433e-25,"ZNF165"
1.43751644900068e-29,-3.40602916757411,0.109,0.455,5.2650477461099e-25,"KRT23"
2.41747342593895e-29,-2.66894098896674,0.091,0.429,8.85423816984399e-25,"RNF145"
3.00999509774537e-28,-4.39341629380331,0.016,0.221,1.10244080450022e-23,"LIF"
1.97334690542493e-27,-3.05626889687284,0.078,0.383,7.22758037580936e-23,"CHI3L1"
2.14138397909602e-27,-1.52572913119027,0.771,0.922,7.84303296183709e-23,"SQSTM1"
3.46093582047184e-27,-1.27490600388867,1,1,1.26760235360602e-22,"FTH1"
1.08655233381297e-26,-1.55710530350286,0.575,0.883,3.9796065778234e-22,"CD24"
1.55668879176652e-26,-2.638680820407,0.113,0.448,5.70152836872407e-22,"STOM"
1.67587080767256e-26,-1.33880247532594,0.593,0.89,6.1380444201815e-22,"S100A11"
1.76910237089215e-26,-1.94064711639275,0.315,0.714,6.47951434362957e-22,"ERRFI1"
6.52601253219873e-26,-2.08274932980498,0.269,0.669,2.39021735004311e-21,"SOX9"
1.6128286800669e-25,-2.62169969842757,0.131,0.468,5.90714632361303e-21,"EDN1"
1.86634429179356e-25,-2.97176224144598,0.057,0.325,6.83567260312308e-21,"IL6R"
3.48203727350086e-25,-3.0473012024266,0.035,0.266,1.27533097179242e-20,"LAMC2"
