"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.72283415658114e-204,-1.18556386171429,0.992,0.976,1.36352523818941e-199,"RPL34"
1.03845493182075e-201,-4.88529723796274,0.179,0.716,3.80344503328667e-197,"AREG"
4.07440841805922e-194,-1.15030398218016,0.99,0.961,1.49229282719837e-189,"RPS25"
7.23828481881748e-174,-1.06641558758796,0.997,0.974,2.65109419774009e-169,"RPL11"
3.5267294901952e-161,-1.11172858033375,0.997,0.978,1.2916999430789e-156,"RPL26"
1.50029237125269e-141,-1.0299283732732,0.993,0.97,5.49497083895011e-137,"RPS3"
6.34671732423368e-132,-4.06819579393938,0.205,0.612,2.32454868717383e-127,"TCIM"
3.60346486361879e-129,-2.23278297153618,0.862,0.911,1.31980504094902e-124,"SAT1"
2.6347477282182e-123,-0.814303175854326,0.995,0.98,9.65002702937199e-119,"RPL21"
3.95473305509855e-115,-1.7644983735764,0.797,0.951,1.4484605287604e-110,"TMSB4X"
7.45510145238582e-111,-0.746167172867645,0.996,0.967,2.73050545795083e-106,"RPL36"
5.22537933248447e-108,-2.34791649945146,0.399,0.74,1.91384743431576e-103,"S100A14"
4.81003493189181e-100,-4.06431691544732,0.201,0.56,1.76172339415469e-95,"PIP"
6.50170442587972e-100,-0.899692923994523,0.973,0.923,2.38131426302271e-95,"RPL27"
6.45266138255719e-97,-1.35666602807488,0.641,0.926,2.3633517579754e-92,"S100A11"
7.68119364486113e-91,-0.814211381199315,0.997,0.967,2.81331398436684e-86,"RPL36A"
1.25932189740408e-88,-1.06600134621086,0.915,0.897,4.6123923814322e-84,"EIF4A1"
4.54871877854534e-88,-2.46589991283219,0.271,0.582,1.66601373983002e-83,"CNN3"
4.88703544023668e-88,-4.12383289744353,0.05,0.378,1.78992560034109e-83,"UBE2E3"
1.89823131165871e-87,-2.17048943994658,0.35,0.618,6.95246200208119e-83,"C1orf21"
9.49277814281396e-87,-2.12621936809756,0.548,0.748,3.47682492258704e-82,"ANKRD30A"
1.08968638365499e-85,-0.652149751230791,1,0.989,3.99108534877475e-81,"RPS27"
1.38526781546891e-84,-2.66885556070509,0.498,0.741,5.07368190093643e-80,"S100A10"
8.71116142655538e-79,-8.29199409194651,0.009,0.296,3.19054998409017e-74,"PTHLH"
6.74628104243142e-78,-6.92728507193771,0.023,0.313,2.47089289460093e-73,"LAMB3"
7.11457226005602e-78,-6.79381256284809,0.022,0.313,2.60578323596812e-73,"ANGPTL4"
1.06752226760455e-76,-0.97618427483072,0.97,0.923,3.90990705732844e-72,"GAS5"
6.75901590320111e-74,-2.06729303643782,0.625,0.791,2.47555716470644e-69,"S100A16"
1.49054019770737e-72,-0.935033597137378,0.977,0.986,5.459252528123e-68,"ACTG1"
1.60338657038199e-72,-2.05991144279376,0.575,0.751,5.87256365268108e-68,"KRT7"
