"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.16809398090284e-27,1.6676297221624,0.925,0.766,1.16034610144547e-22,"FOS"
3.7765162971271e-26,0.91334261716313,0.993,0.961,1.38318685898577e-21,"XBP1"
9.03074174874925e-26,1.00839588897164,1,1,3.3075994728969e-21,"MT-CO3"
4.50930829015279e-25,1.18232470425534,0.959,0.799,1.65157925435136e-20,"MICOS10"
7.65865928104289e-24,1.40957713038614,0.924,0.721,2.80506054827477e-19,"MAGED2"
9.72630425845623e-24,1.38691260683879,0.975,0.909,3.56235619770218e-19,"MPC2"
5.13675421547242e-23,1.36931512169563,0.993,0.994,1.88138759895893e-18,"NDUFA4"
2.06731352932541e-21,1.96204431554371,0.874,0.63,7.57174253250726e-17,"BTG2"
2.64448429198164e-21,0.952953244504432,0.974,0.903,9.68568816781194e-17,"UQCR10"
5.41951035046614e-20,0.678383520079028,0.987,0.974,1.98494986096173e-15,"MZT2B"
7.3706149240846e-20,2.16148304883449,0.632,0.227,2.69956142209523e-15,"PVALB"
1.06932875036912e-19,1.73262377793009,0.698,0.325,3.91652348110194e-15,"DNAJC12"
1.1916173585499e-19,1.99877006150566,0.612,0.208,4.36441773742485e-15,"KCNJ3"
6.03496207562436e-18,0.86216148690848,0.953,0.87,2.21036520981818e-13,"GATA3"
6.73873733128221e-18,0.950136986325841,0.996,1,2.46812993495542e-13,"MT-ND3"
7.38978296373522e-18,0.939709651064766,0.953,0.903,2.70658190829766e-13,"CIRBP"
7.53280705831947e-18,1.0369414805583,0.996,0.981,2.75896591318009e-13,"COX6C"
8.9678492596735e-18,1.48014599350857,0.963,0.909,3.28456446984802e-13,"CD9"
9.68979051328166e-18,2.84304150788562,0.52,0.169,3.54898267339454e-13,"KIF12"
1.4474404067284e-17,1.17748871239689,0.972,0.929,5.30139523368343e-13,"DBI"
3.84935837831562e-17,0.588182721118494,1,1,1.40986599964188e-12,"MT-CO2"
6.84952101022172e-17,0.84962993789934,0.961,0.883,2.50870556520381e-12,"ATP5ME"
9.06112433731635e-17,0.607345105100386,0.989,0.955,3.31872739978549e-12,"ATP5F1E"
1.86636801527805e-16,0.826278752218395,0.947,0.903,6.83575949275738e-12,"PARK7"
2.41073490867181e-16,1.85983216024194,0.571,0.201,8.82955767650136e-12,"KCNC2"
2.80731930126776e-16,1.14280092631122,0.825,0.656,1.02820876728233e-11,"OCIAD1"
5.03911913043682e-16,0.598843063934651,0.996,0.994,1.84562777271379e-11,"COX6A1"
1.02605873983295e-15,1.62090183857692,0.736,0.552,3.75804274051216e-11,"DCAF6"
1.36607190342538e-15,1.19533913236463,0.916,0.799,5.0033749534858e-11,"NUCB2"
2.25422551978213e-15,0.784932739205225,0.951,0.883,8.25632638875402e-11,"ATP5MPL"
