"gene","sample_id","expressing_fraction","mean_expression"
"PVALB","BC11",0.802158273381295,1.12401091950688
"PVALB","BC12",0,0
"PVALB","BC17",0.983286908077994,2.86483491767328
"KCNJ3","BC11",0.81294964028777,0.963494702967346
"KCNJ3","BC12",0.0184210526315789,0.00738653241967847
"KCNJ3","BC17",0.899721448467967,1.32726288943633
"H1-2","BC11",0.928057553956835,1.66735849244265
"H1-2","BC12",0.986842105263158,2.54955949615033
"H1-2","BC17",0.972144846796657,2.23218427742714
"H2AJ","BC11",0.992805755395683,2.171709145853
"H2AJ","BC12",0.994736842105263,2.99436128016638
"H2AJ","BC17",0.963788300835655,2.27289500027171
"ALB","BC11",0.00359712230215827,0.00186536137831628
"ALB","BC12",0,0
"ALB","BC17",0.98050139275766,3.43373019106398
"SLC9A3R1","BC11",0.989208633093525,2.06694549304606
"SLC9A3R1","BC12",0.923684210526316,1.29072384385587
"SLC9A3R1","BC17",0.841225626740947,1.27903747638363
"RETREG1","BC11",0.76978417266187,0.872181501224521
"RETREG1","BC12",0.257894736842105,0.142045740228551
"RETREG1","BC17",0.729805013927577,0.876516496239229
"CST5","BC11",0.00359712230215827,0.00292076724993026
"CST5","BC12",0.00526315789473684,0.00154246788368551
"CST5","BC17",0.947075208913649,2.81028500240589
"COX8A","BC11",0.989208633093525,2.13498133738103
"COX8A","BC12",0.968421052631579,1.87446498656705
"COX8A","BC17",0.988857938718663,2.14105442560915
"NEFH","BC11",0,0
"NEFH","BC12",0,0
"NEFH","BC17",0.84958217270195,1.21724135824897
"TIMP3","BC11",0.949640287769784,1.85071441955316
"TIMP3","BC12",0.147368421052632,0.0972926386102737
"TIMP3","BC17",0.601671309192201,0.637035645031298
"HSBP1","BC11",0.91726618705036,1.30715690238136
"HSBP1","BC12",0.947368421052632,1.29868905609118
"HSBP1","BC17",0.98050139275766,2.18971003518854
"FKBP4","BC11",0.877697841726619,1.09663470987641
"FKBP4","BC12",0.926315789473684,1.29046610348752
"FKBP4","BC17",0.857938718662953,1.31864959542078
"EPN3","BC11",0.467625899280576,0.392481078788118
"EPN3","BC12",0.35,0.177190666221032
"EPN3","BC17",0.54874651810585,0.524132023450983
"SYT13","BC11",0.133093525179856,0.104990646059747
"SYT13","BC12",0.0368421052631579,0.0152816086807
"SYT13","BC17",0.71866295264624,0.852364483166758
"MZT2B","BC11",0.992805755395683,2.14840039560007
"MZT2B","BC12",0.978947368421053,1.76658496067515
"MZT2B","BC17",0.986072423398329,2.2153980735888
"AGTR1","BC11",0.00719424460431655,0.00429789267883045
"AGTR1","BC12",0.0131578947368421,0.00846149349901663
"AGTR1","BC17",0.866295264623955,1.18368763120291
"GASK1B","BC11",0.420863309352518,0.320757062748186
"GASK1B","BC12",0.5,0.305375103114451
"GASK1B","BC17",0.47075208913649,0.452061336155001
"DBI","BC11",0.938848920863309,1.37757617922089
"DBI","BC12",0.957894736842105,1.91030978596939
"DBI","BC17",0.994428969359331,2.92481909250609
"MPC2","BC11",1,3.51451276033038
"MPC2","BC12",0.910526315789474,1.09844850854656
"MPC2","BC17",0.994428969359331,2.66057366119881
"ETFB","BC11",0.58273381294964,0.489635434913073
