"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022904","respiratory electron transport chain","34/557","35/885",1.39556173271928e-06,0.000557286059158108,0.000555190998785333,"ETFB/COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/GHITM/NDUFS7/UQCC3/NDUFA10/NDUFS1/ETFRF1",34
"GO:0009060","aerobic respiration","46/557","50/885",1.66957087284996e-06,0.000557286059158108,0.000555190998785333,"CHCHD10/ATP5F1A/COX7B/ACO2/NDUFAB1/COX8A/NDUFB5/MDH2/CYC1/ATP5PD/ATP5F1B/COX5B/PDHB/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/IDH2/NDUFB4/ATP5ME/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/IDH1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/MDH1/NDUFB6/GHITM/NDUFS7/UQCC3/NDUFA10/SURF1/MRPS36/NDUFS1",46
"GO:0006119","oxidative phosphorylation","38/557","40/885",1.77944479150326e-06,0.000557286059158108,0.000555190998785333,"CHCHD10/ATP5F1A/COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/ATP5PD/ATP5F1B/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/ATP5ME/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/GHITM/NDUFS7/UQCC3/NDUFA10/NDUFS1",38
"GO:0045333","cellular respiration","49/557","54/885",2.09506037277484e-06,0.000557286059158108,0.000555190998785333,"CHCHD10/ATP5F1A/ETFB/COX7B/ACO2/NDUFAB1/COX8A/NDUFB5/MDH2/CYC1/ATP5PD/ATP5F1B/COX5B/PDHB/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/IDH2/NDUFB4/ATP5ME/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/IDH1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/MDH1/NDUFB6/GHITM/NDUFS7/CHCHD5/UQCC3/NDUFA10/SURF1/MRPS36/NDUFS1/ETFRF1",49
"GO:0042773","ATP synthesis coupled electron transport","32/557","33/885",3.4777263559498e-06,0.000616716807121765,0.000614398322884465,"COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/GHITM/NDUFS7/UQCC3/NDUFA10/NDUFS1",32
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","32/557","33/885",3.4777263559498e-06,0.000616716807121765,0.000614398322884465,"COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/GHITM/NDUFS7/UQCC3/NDUFA10/NDUFS1",32
"GO:0015980","energy derivation by oxidation of organic compounds","55/557","63/885",8.54316992146245e-06,0.00107728414079774,0.0010732342004188,"CHCHD10/ATP5F1A/ETFB/COX7B/ACO2/NDUFAB1/COX8A/NDUFB5/MDH2/CYC1/ATP5PD/ATP5F1B/COX5B/PDHB/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/IDH2/NDUFB4/ATP5ME/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/IDH1/COX7A2L/NDUFA6/SDHB/PPP1CA/NDUFB1/NDUFB8/MDH1/PTGES3/NDUFB6/GHITM/NDUFS7/CHCHD5/UQCC3/SELENOS/NDUFA10/PPP1CC/SURF1/AKT2/MRPS36/NDUFS1/GFPT1/ETFRF1",55
"GO:0019646","aerobic electron transport chain","30/557","31/885",8.61249815820164e-06,0.00107728414079774,0.0010732342004188,"COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/UQCC3/NDUFA10/NDUFS1",30
"GO:0009205","purine ribonucleoside triphosphate metabolic process","34/557","36/885",1.01248509473471e-05,0.00107728414079774,0.0010732342004188,"ATP5F1A/ATP5MC3/HSPA1A/NDUFAB1/NDUFB5/ATP5PD/ATP5F1B/NDUFB7/NDUFB9/NDUFB10/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/NDUFB4/ATP5ME/COX11/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/BAD/UQCC3/NDUFA10/AK1/NDUFS1",34
"GO:0046034","ATP metabolic process","34/557","36/885",1.01248509473471e-05,0.00107728414079774,0.0010732342004188,"ATP5F1A/ATP5MC3/HSPA1A/NDUFAB1/NDUFB5/ATP5PD/ATP5F1B/NDUFB7/NDUFB9/NDUFB10/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/NDUFB4/ATP5ME/COX11/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/BAD/UQCC3/NDUFA10/AK1/NDUFS1",34
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","27/557","28/885",3.31437534316848e-05,0.00277169309351243,0.00276127319466463,"ATP5F1A/NDUFAB1/NDUFB5/ATP5PD/ATP5F1B/NDUFB7/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/ATP5ME/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",27
"GO:0006754","ATP biosynthetic process","31/557","33/885",3.64696459672688e-05,0.00277169309351243,0.00276127319466463,"ATP5F1A/ATP5MC3/NDUFAB1/NDUFB5/ATP5PD/ATP5F1B/NDUFB7/NDUFB9/NDUFB10/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/NDUFB4/ATP5ME/COX11/NDUFA7/NDUFS6/NDUFS3/NDUFV1/ATP5PB/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/UQCC3/NDUFA10/NDUFS1",31
