"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031966","mitochondrial membrane","109/582","133/916",5.26330581801568e-07,2.81446021885789e-05,2.46145512725461e-05,"CHCHD10/MPC2/TMEM160/ATP5F1A/PLAAT3/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/NDUFAF3/SORD/COX14/CYC1/CLU/ATP5PD/HINT2/ATP5F1B/COX5B/HSPD1/MRPS7/COX5A/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/MRPL23/NDUFB4/TOMM6/ATP5ME/TMEM14B/COX11/NDUFA7/MRPL40/NDUFS6/TMEM14A/NDUFS3/SMDT1/MRPS18A/NDUFV1/ATP5PB/COA3/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/MTARC2/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/TOMM22/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/GHITM/NDUFS7/AKAP1/BAD/MRPL36/UQCC3/MRPS18B/MTCH1/NDUFA10/MRPS14/PPP1CC/MRPL34/TIMMDC1/COQ4/ARMCX3/MTX2/TIMM17B/VDAC3/SURF1/CYB5B/RNF5/MPC1/STARD7/CRLS1/COQ7/MRPS36/NDUFS1/HK1/PARL/MRPL35/HADHB/TMEM223/FUNDC1/FAM210B/IMMP1L/SYNJ2BP/GNPAT",109
"GO:0005746","mitochondrial respirasome","31/582","31/916",5.80222095961849e-07,2.81446021885789e-05,2.46145512725461e-05,"COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/SURF1/NDUFS1",31
"GO:0070469","respirasome","31/582","31/916",5.80222095961849e-07,2.81446021885789e-05,2.46145512725461e-05,"COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/SURF1/NDUFS1",31
"GO:0098800","inner mitochondrial membrane protein complex","45/582","48/916",7.7316395917138e-07,2.81446021885789e-05,2.46145512725461e-05,"CHCHD10/MPC2/ATP5F1A/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/ATP5PD/ATP5F1B/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/NDUFB4/ATP5ME/NDUFA7/NDUFS6/NDUFS3/SMDT1/NDUFV1/ATP5PB/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/MICOS13/NDUFB6/NDUFS7/NDUFA10/MTX2/TIMM17B/MPC1/NDUFS1/IMMP1L",45
"GO:0098798","mitochondrial protein-containing complex","72/582","83/916",8.33779578264251e-07,2.81446021885789e-05,2.46145512725461e-05,"CHCHD10/MPC2/ATP5F1A/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/ATP5PD/ATP5F1B/COX5B/MRPS7/PDHB/COX5A/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/MRPL23/NDUFB4/TOMM6/ATP5ME/NDUFA7/MRPL40/NDUFS6/NDUFS3/SMDT1/MRPS18A/NDUFV1/ATP5PB/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/MRPL57/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/TOMM22/MRPL24/MICOS13/NDUFB6/HSD17B10/NDUFS7/MRPL36/MRPS18B/NDUFA10/MRPS14/MRPL34/MTX2/TIMM17B/MPC1/MRPS36/PDHX/NDUFS1/MRPL35/HADHB/IMMP1L",72
"GO:0098803","respiratory chain complex","30/582","30/916",9.31298509098183e-07,2.81446021885789e-05,2.46145512725461e-05,"COX7B/NDUFAB1/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",30
"GO:0005740","mitochondrial envelope","112/582","138/916",9.80160275224142e-07,2.81446021885789e-05,2.46145512725461e-05,"CHCHD10/MPC2/TMEM160/ATP5F1A/PLAAT3/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/NDUFAF3/SORD/COX14/CYC1/CLU/ATP5PD/HINT2/ATP5F1B/COX5B/HSPD1/MRPS7/COX5A/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/MRPL23/NDUFB4/TOMM6/ATP5ME/COX17/TMEM14B/COX11/NDUFA7/MRPL40/NDUFS6/TMEM14A/NDUFS3/SMDT1/MRPS18A/NDUFV1/ATP5PB/COA3/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/MTARC2/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/TOMM22/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/GHITM/NDUFS7/AKAP1/CHCHD5/BAD/MRPL36/UQCC3/MRPS18B/MTCH1/NDUFA10/MRPS14/PPP1CC/MRPL34/TIMMDC1/COQ4/ARMCX3/MTX2/TIMM17B/VDAC3/ARL2BP/SURF1/CYB5B/RNF5/MPC1/STARD7/CRLS1/COQ7/MRPS36/NDUFS1/HK1/PARL/MRPL35/HADHB/TMEM223/FUNDC1/FAM210B/IMMP1L/SYNJ2BP/GNPAT",112
"GO:0005739","mitochondrion","165/582","215/916",1.87336156172184e-06,4.70682092382612e-05,4.11646553694141e-05,"CHCHD10/GLRX5/MPC2/CKB/TMEM160/FKBP4/ATP5F1A/PLAAT3/ETFB/ATP5MC3/HSPE1/HSPA1A/COX7B/GPX1/ACO2/NDUFAB1/COX8A/NDUFB5/NDUFAF3/MDH2/SORD/COX14/CYC1/CLU/ATP5PD/HINT2/ATP5F1B/COX5B/HSPD1/MRPS7/PDHB/COX5A/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/ACSF2/MRPL12/GCSH/NDUFS2/ATP5MC1/NDUFA12/PNPLA4/NDUFA1/NDUFA8/MRPL23/IDH2/NDUFB4/C1orf43/TOMM6/ATP5ME/DYNLL1/COX17/TMEM14B/COX11/NDUFA7/MRPL40/NDUFS6/PRDX5/TMEM14A/NAXE/NDUFS3/SMDT1/MRPS18A/NDUFV1/ATP5PB/ECI1/COA3/NENF/NDUFAF8/MRPS24/IDH1/COX7A2L/MRPS34/NDUFA6/SDHB/CISD3/COA1/DUT/MRPL57/MTARC2/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/TOMM22/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/PNKD/HSD17B10/GHITM/POLDIP2/NDUFS7/AKAP1/CHCHD5/BAD/MRPL36/HAGH/UQCC3/ECH1/MRPS18B/NFU1/CMC1/MTCH1/NDUFA10/MRPS14/ACOT13/PPP1CC/GPAA1/TXN2/MRPL34/TIMMDC1/COQ4/ARMCX3/NOL3/CHPF/MTX2/TIMM17B/VDAC3/ARL2BP/RXRA/SURF1/CYB5B/RNF5/MPC1/STARD7/DHX30/FIBP/CRLS1/MTHFS/BCAT2/COQ7/MRPS36/PDHX/NDUFS1/MMAB/TRUB2/HK1/PARL/SECISBP2/ETHE1/IARS2/MTUS1/MRPL35/ETFRF1/NIPSNAP1/PTGES2/HADHB/RMND1/TMEM223/FUNDC1/FAM210B/IMMP1L/SYNJ2BP/GNPAT/MALSU1",165
"GO:0005743","mitochondrial inner membrane","86/582","103/916",2.30127691984994e-06,5.13951845433152e-05,4.49489176157824e-05,"CHCHD10/MPC2/TMEM160/ATP5F1A/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/NDUFAF3/CYC1/CLU/ATP5PD/ATP5F1B/COX5B/HSPD1/MRPS7/COX5A/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/MRPL23/NDUFB4/ATP5ME/COX11/NDUFA7/MRPL40/NDUFS6/NDUFS3/SMDT1/MRPS18A/NDUFV1/ATP5PB/COA3/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/GHITM/NDUFS7/MRPL36/UQCC3/MRPS18B/NDUFA10/MRPS14/MRPL34/TIMMDC1/COQ4/MTX2/TIMM17B/SURF1/MPC1/CRLS1/COQ7/MRPS36/NDUFS1/PARL/MRPL35/HADHB/TMEM223/IMMP1L",86
"GO:0019866","organelle inner membrane","89/582","109/916",1.03227109132401e-05,0.000207486489356126,0.000181462391843274,"CHCHD10/MPC2/TMEM160/ATP5F1A/TM7SF2/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/NDUFAF3/CYC1/CLU/ATP5PD/ATP5F1B/COX5B/HSPD1/MRPS7/COX5A/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/MRPL23/NDUFB4/ATP5ME/COX11/NDUFA7/MRPL40/NDUFS6/NDUFS3/SMDT1/MRPS18A/NDUFV1/ATP5PB/COA3/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/GHITM/NDUFS7/MRPL36/UQCC3/MRPS18B/NDUFA10/MRPS14/RNF13/MRPL34/TIMMDC1/COQ4/MTX2/TIMM17B/SURF1/MPC1/UNC50/CRLS1/COQ7/MRPS36/NDUFS1/PARL/MRPL35/HADHB/TMEM223/IMMP1L",89
