"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity","29/579","29/913",1.41103648877386e-06,0.000262452786911937,0.000249530663277903,"COX7B/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/SURF1/NDUFS1",29
"GO:0009055","electron transfer activity","32/579","33/913",4.45340503634801e-06,0.000414166668380365,0.000393774761108667,"ETFB/COX7B/COX8A/NDUFB5/CYC1/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/COX11/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/SDHB/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/SURF1/NDUFS1",32
"GO:0015399","primary active transmembrane transporter activity","31/579","32/913",6.95349994113165e-06,0.000431116996350162,0.000409890522845655,"COX7B/COX8A/NDUFB5/CYC1/ATP5F1B/COX5B/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/COX7A2L/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/SURF1/ATP6V1H/NDUFS1",31
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","22/579","22/913",3.83594835913832e-05,0.00162936473159589,0.00154914134073633,"NDUFB5/NDUFB7/NQO1/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/DCXR/NDUFS7/NDUFA10/NDUFS1",22
"GO:0003954","NADH dehydrogenase activity","21/579","21/913",6.13201780708132e-05,0.00162936473159589,0.00154914134073633,"NDUFB5/NDUFB7/NQO1/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",21
"GO:0003955","NAD(P)H dehydrogenase (quinone) activity","21/579","21/913",6.13201780708132e-05,0.00162936473159589,0.00154914134073633,"NDUFB5/NDUFB7/NQO1/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",21
"GO:0050136","NADH dehydrogenase (quinone) activity","21/579","21/913",6.13201780708132e-05,0.00162936473159589,0.00154914134073633,"NDUFB5/NDUFB7/NQO1/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",21
"GO:0008137","NADH dehydrogenase (ubiquinone) activity","20/579","20/913",9.79587102276142e-05,0.00227754001279203,0.00216540306818937,"NDUFB5/NDUFB7/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",20
"GO:0016651","oxidoreductase activity, acting on NAD(P)H","22/579","23/913",0.00035470682975242,0.00733060781488335,0.00696967805829316,"NDUFB5/NDUFB7/NQO1/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/DCXR/NDUFS7/NDUFA10/NDUFS1",22
"GO:0016491","oxidoreductase activity","74/579","96/913",0.00184647984705326,0.0343445251551907,0.0326535383478893,"TM7SF2/SCD/ETFB/COX7B/RSBN1L/GPX1/COX8A/NDUFB5/MDH2/SORD/CYC1/COX5B/PRDX2/P4HTM/PDHB/CYB561/COX5A/UQCR10/NDUFB7/NQO1/NDUFB9/NDUFB10/UQCRH/SELENOT/NDUFS2/NDUFA12/NDUFA1/NDUFA8/IDH2/NDUFB4/COX11/NDUFA7/NDUFS6/PRDX5/NDUFS3/NDUFV1/DHRS7/IDH1/COX7A2L/NDUFA6/SDHB/TECR/PCBD1/MTARC2/BLVRA/NDUFB1/NDUFB8/MDH1/NDUFB6/DCXR/HSD17B10/NDUFS7/SQLE/BLVRB/NDUFA10/SPR/HTATIP2/ADI1/TXN2/EGLN2/SURF1/CYB5B/COQ7/MRPS36/PDHX/CCS/NDUFS1/GSTO2/ETHE1/DHRS4L2/PTGES2/HADHB/CYP51A1/TMX1",74
"GO:0003723","RNA binding","75/579","98/913",0.0024696431043009,0.0417594197636335,0.0397033532557466,"H1-2/FKBP4/ATP5F1A/RBBP7/HSPE1/HSPA1A/AHCYL1/MDH2/HSPD1/MRPS7/MRPS23/MRPL27/PEBP1/NQO1/MRPS26/MRPS12/MRPL12/STRBP/MRPL23/CANX/MRPL40/ARL6IP4/CALR/MRPS18A/NUDT4/ZCRB1/MRPS24/DUT/MRPL21/TAF15/MRPL24/FDPS/GTF3A/LSM4/HSD17B10/AKAP1/RBM47/UHMK1/SRSF6/FLYWCH2/MRPS14/GRN/SRSF1/MCTS1/DEK/PPP1CC/RPN1/NOL3/RPP21/C7orf50/SNRPN/ZNF385A/KRR1/CLTC/EXOSC5/HEXIM1/POP7/ELAPOR1/FAM120A/UNC50/DHX30/ALG13/OIP5-AS1/CPEB4/TRUB2/STIP1/KCNQ1OT1/MSI2/SECISBP2/IARS2/ENDOV/HNRNPL/HADHB/NKAP/HTATSF1",75
