"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","44/310","44/468",4.4000989737486e-09,3.25607324057396e-07,2.82532670945963e-07,"498/518/1349/2876/4706/1351/4711/1537/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/9167/4700/6390/4707/4714/4712/374291/5435/4705/11258/60673/7419/1213/5432/4719/1639",44
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","42/310","42/468",1.1133069472821e-08,4.11923570494378e-07,3.57430125180044e-07,"498/518/1349/4706/1351/4711/1537/25800/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/808/9167/4700/6390/4707/4714/4712/374291/4705/25828/7419/4719/29985/9817",42
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","43/310","44/468",1.18967470005585e-07,2.93453092680444e-06,2.54632128783884e-06,"400916/498/518/1349/2876/4706/1351/4711/1537/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/9167/4700/6390/4707/4714/4712/374291/572/4705/11258/60673/9973/4719/1639",43
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","41/310","42/468",2.85776374385981e-07,4.22949034091252e-06,3.66997028158839e-06,"498/518/1349/4706/1351/4711/537/1537/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/521/10063/1353/4701/4726/4722/4723/515/9167/4700/6390/4707/4714/4712/374291/4705/51606/4719",41
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","41/310","42/468",2.85776374385981e-07,4.22949034091252e-06,3.66997028158839e-06,"498/518/3303/1349/4706/1351/4711/1537/1958/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/9167/4700/6390/4707/4714/4712/374291/572/4705/7419/4719/10963",41
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","46/310","49/468",1.84372910097635e-06,2.27393255787084e-05,1.97311359929048e-05,"498/518/1349/2876/4706/1351/4711/1537/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/808/9167/4700/6390/4707/4714/4712/3028/374291/572/4705/11258/60673/7419/9973/4719/1639/3265",46
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","47/310","51/468",6.0581754293171e-06,6.40435688242093e-05,5.5571233261405e-05,"498/518/1349/4706/1351/4711/25915/84987/1537/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/521/10063/1353/4701/4726/4722/4723/515/28958/284184/9167/4700/6390/55744/4707/4714/4712/374291/4705/6595/4719/84335/3265",47
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","44/310","48/468",1.88676136987742e-05,0.000174525426713661,0.000151437425740161,"25874/498/518/1349/4706/1351/4711/1537/10476/506/1329/5162/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/9167/4700/6390/5499/4707/4714/4712/374291/4705/5501/7419/51660/208/4719/2673",44
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","44/310","49/468",7.08704477156088e-05,0.000582712570106117,0.000505625416450543,"498/518/1349/4706/1351/4711/1537/10476/506/1329/9377/29796/4713/1728/4715/4716/7388/4720/516/55967/4694/4702/4710/4701/4726/4722/4723/515/9167/4700/6390/4707/4714/4712/2052/374291/572/4705/7419/208/4719/119391/3265/9817",44
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","46/310","52/468",0.000115539117516383,0.000854989469621236,0.000741882754578882,"498/518/1349/4706/1351/4711/1537/25800/10476/506/1329/9377/29796/4713/4715/4716/7388/4720/516/55967/4694/4702/4710/10313/4701/4726/4722/4723/515/808/9167/4700/6390/4707/4714/4712/3028/374291/572/4705/60673/7419/208/4719/29985/3265",46
