"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.4506756570291,0.805,0.312,0,"0","EGR1"
0,1.15268307303032,0.89,0.417,0,"0","GATA3"
0,1.53473132918832,0.91,0.46,0,"0","BTG2"
0,0.892855636264394,0.822,0.372,0,"0","MLPH"
0,1.19917653946403,0.728,0.28,0,"0","PBX1"
0,1.3184291685751,0.75,0.305,0,"0","NR4A1"
0,1.22147176189038,0.689,0.244,0,"0","SPDEF"
0,1.32355627296812,0.788,0.347,0,"0","SLC9A3R1"
0,0.926953927247805,0.774,0.342,0,"0","BEX3"
0,1.30349892883297,0.774,0.345,0,"0","TOB1"
0,0.951676593259177,0.789,0.361,0,"0","CRNDE"
0,0.863278948852714,0.933,0.506,0,"0","TSTD1"
0,1.18696354190319,0.894,0.467,0,"0","FOSB"
0,1.07283048327349,0.832,0.411,0,"0","CLDN3"
0,1.2520764506937,0.906,0.488,0,"0","SLC39A6"
0,0.894845683008498,0.783,0.366,0,"0","HES1"
0,0.763550810416711,0.804,0.387,0,"0","NDUFA7"
0,1.01558397518106,0.707,0.294,0,"0","ZG16B"
0,0.899405216289636,0.786,0.375,0,"0","AGR3"
0,0.734067719301581,0.758,0.35,0,"0","PAFAH1B3"
0,0.806580415360695,0.809,0.403,0,"0","NME3"
0,0.687435500089532,0.789,0.384,0,"0","PCBD1"
0,1.13974341309022,0.775,0.376,0,"0","TSPAN13"
0,0.886189178643326,0.93,0.532,0,"0","FXYD3"
0,1.0712120330091,0.739,0.345,0,"0","STARD10"
0,0.749844154936461,0.747,0.354,0,"0","NPDC1"
0,0.926341562676751,0.703,0.31,0,"0","TMEM141"
0,0.933686639813225,0.732,0.34,0,"0","BCAM"
0,0.751801899867558,0.782,0.391,0,"0","FKBP4"
0,0.684771947655765,0.699,0.309,0,"0","SELENOP"
0,0.901512999381804,0.827,0.438,0,"0","JUND"
0,1.36649443687083,0.947,0.558,0,"0","H2AJ"
0,0.70023781992953,0.838,0.451,0,"0","MAGED2"
0,0.912029346871115,0.835,0.449,0,"0","TCEAL4"
0,0.689415624523184,0.93,0.545,0,"0","ELF3"
0,0.832918493065335,0.753,0.368,0,"0","NME4"
0,0.560913428433553,0.781,0.397,0,"0","NDUFB1"
0,0.960103146429459,0.917,0.534,0,"0","RHOB"
0,0.644755871022625,0.739,0.358,0,"0","DCXR"
0,0.647169712527518,0.815,0.434,0,"0","ATP5MC1"
0,1.06657312050203,0.843,0.463,0,"0","H1-2"
0,0.575221035702997,0.871,0.495,0,"0","LAMTOR2"
0,0.810533752905119,0.883,0.507,0,"0","COPS9"
0,0.531985062719526,0.73,0.354,0,"0","ASAH1"
0,0.82178840530011,0.718,0.342,0,"0","CERS2"
0,0.82756328362946,0.681,0.306,0,"0","CHCHD5"
0,0.804172478763695,0.603,0.228,0,"0","CREB3L4"
0,1.10298767916123,0.613,0.238,0,"0","TBC1D9"
0,0.482246824568456,0.9,0.525,0,"0","PRDX2"
0,0.556079774971999,0.787,0.413,0,"0","SMIM14"
0,0.571044462758667,0.748,0.374,0,"0","PMVK"
0,0.917319987129452,0.765,0.391,0,"0","SMIM22"
0,0.625855495305998,0.719,0.345,0,"0","NAA38"
0,0.747431685106017,0.768,0.396,0,"0","ATOX1"
0,0.555394119621762,0.745,0.373,0,"0","NDUFA3"
0,0.94629663171133,0.662,0.291,0,"0","H2BC5"
0,0.844451696375124,0.66,0.289,0,"0","CRACR2B"
0,0.541474824247806,0.878,0.507,0,"0","SELENOH"
0,0.65446679908332,0.895,0.525,0,"0","MARCKSL1"
0,0.846006923606443,0.614,0.244,0,"0","WBP1"
0,1.12962915695998,0.6,0.23,0,"0","IRX3"
0,0.743485385714354,0.706,0.336,0,"0","H2AC6"
0,0.539783074576161,0.865,0.496,0,"0","NDUFB10"
0,0.469007055162905,0.812,0.445,0,"0","SDHC"
0,1.13825092167715,0.591,0.224,0,"0","H2BC21"
0,0.772730752875273,0.676,0.31,0,"0","ATP6AP1"
0,0.585698054285653,0.706,0.34,0,"0","PRDX3"
0,0.813169044926933,0.883,0.518,0,"0","NENF"
0,0.512722276784471,0.837,0.472,0,"0","LAMTOR4"
0,0.991546486986482,0.607,0.242,0,"0","LDLR"
0,1.08574659216671,0.646,0.281,0,"0","TCEAL3"
0,0.506584374502235,0.83,0.465,0,"0","PHPT1"
0,0.357031542622159,0.818,0.454,0,"0","GPX1"
