"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.12019098551792e-223,1.54944937237483,0.401,0.195,4.10281150355794e-219,"0","RHOV"
0,1.53473132918832,0.91,0.46,0,"0","BTG2"
0,1.5196480429183,0.344,0.1,0,"0","IRX5"
0,1.5011123173533,0.327,0.087,0,"0","KCNJ3"
0,1.49027608491421,0.287,0.077,0,"0","TTC36"
0,1.48938325292785,0.297,0.081,0,"0","ALDH3B2"
0,1.45221627300709,0.32,0.082,0,"0","SLC2A10"
0,1.4506756570291,0.805,0.312,0,"0","EGR1"
0,1.43728371116372,0.307,0.088,0,"0","MSMB"
1.67456128103805e-291,1.38506937527589,0.478,0.235,6.13324814792996e-287,"0","CITED4"
4.84379475891712e-207,2.1122256433989,0.28,0.115,1.77408826840098e-202,"1","PVALB"
1.03819857871564e-98,1.78082187691847,0.253,0.14,3.80250611440391e-94,"1","RBP1"
2.06223641113477e-28,1.62247630430022,0.261,0.207,7.55314707942222e-24,"1","TPD52L1"
5.91451837679102e-249,1.6024587474378,0.741,0.615,2.16625150068348e-244,"1","MPC2"
1.22762160390718e-16,1.53221701969131,0.324,0.295,4.49628688647045e-12,"1","NQO1"
2.18993344632742e-46,1.51438270852828,0.279,0.205,8.02085024051882e-42,"1","CMBL"
4.40621788576661e-31,1.50251577404568,0.281,0.222,1.61382136284088e-26,"1","FBP1"
3.40053943692606e-67,1.45898194702386,0.27,0.177,1.24548157416854e-62,"1","KCNC2"
0,1.44803440590193,0.93,0.816,0,"1","COX6C"
7.5309011734822e-19,1.4415519391783,0.303,0.284,2.75826786379959e-14,"1","CKB"
0,4.01044975966538,0.36,0.016,0,"2","SPNS2"
0,3.74391313581771,0.274,0.014,0,"2","CA9"
0,3.59111339769236,0.35,0.026,0,"2","KRT80"
0,3.56676200164755,0.33,0.049,0,"2","EDN2"
0,3.50778140314473,0.554,0.064,0,"2","LAMB3"
0,3.39223966332612,0.517,0.096,0,"2","KCNMA1"
0,3.39193029578512,0.261,0.035,0,"2","ARHGAP29-AS1"
0,3.32697441985724,0.295,0.028,0,"2","S100A2"
0,3.31267193650365,0.49,0.063,0,"2","LAMC2"
0,3.28426201437394,0.386,0.05,0,"2","TNC"
8.93857282680439e-285,2.86660849558035,0.679,0.485,3.27384168354538e-280,"3","ANKRD30A"
1.05828586674066e-154,2.26081276930786,0.645,0.597,3.87607781552434e-150,"3","VMP1"
1.12158448850559e-26,2.23310509069746,0.353,0.339,4.10791534760058e-22,"3","CDK5RAP3"
0,2.16663444420947,1,0.996,0,"3","MALAT1"
3.12973403982331e-17,2.06902834623993,0.284,0.258,1.14629638942569e-12,"3","KCNQ1OT1"
1.7345374862261e-45,2.05103819306367,0.44,0.437,6.35291699705171e-41,"3","HOOK2"
1.79306672685146e-12,1.86879524018968,0.366,0.403,6.56728619376614e-08,"3","POLR2J3"
8.761564695255e-161,1.82896850961556,0.71,0.62,3.2090106852841e-156,"3","ELF3"
6.61512769413476e-06,1.81653384881663,0.295,0.324,0.24228566692538,"3","LDLR"
0.00159509229350686,1.74866670337741,0.256,0.283,1,"3","CSAD"
0,4.98414169459244,0.431,0.025,0,"4","LTB"
0,4.26349621278354,0.452,0.033,0,"4","IL7R"
0,4.03073527441534,0.343,0.024,0,"4","SPOCK2"
0,3.95556302321153,0.252,0.019,0,"4","CD6"
0,3.74188035885122,0.312,0.025,0,"4","KLRB1"
